dataset,backbone,class,image,condition,perturbation,severity,sgi,csi,feature_drift,cam_entropy,delta_entropy,cam_js_distance,cam_js_divergence
WRD25,efficientnet_b3,0,5-Cassia_siamea080.jpg,compound_severe,compound,severe,0.000528717041015625,0.3298881184576536,0.15366560220718384,1.4285568079411712,-0.14978324136566745,0.1376485824584961,0.0189471322528334
WRD25,efficientnet_b3,0,01201.jpg,compound_severe,compound,severe,0.0012115478515625,0.19997398270933572,0.3032516837120056,1.0936987848793887,-0.3316177086101273,0.19064031541347504,0.03634372986094925
WRD25,efficientnet_b3,0,5-Cassia_siamea097.jpg,compound_severe,compound,severe,0.001129150390625,0.6641120695234831,0.15494966506958008,1.55063936347427,-0.03417134533434063,0.08162884414196014,0.006663268195952421
WRD25,efficientnet_b3,0,5-Cassia_siamea038.jpg,compound_severe,compound,severe,0.00074005126953125,0.44434970856270334,0.13587582111358643,1.478405286906419,-0.022037298018742657,0.029048101976513863,0.0008437922284379486
WRD25,efficientnet_b3,0,5-Cassia_siamea010.jpg,compound_severe,compound,severe,0.000519561767578125,0.28130630496554015,0.16095000505447388,1.368641924338281,-0.1768539862183831,0.21792905032634735,0.047493070976143636
WRD25,efficientnet_b3,0,5-Cassia_siamea095.jpg,compound_severe,compound,severe,0.00076141357421875,0.08019123072186106,0.14951348304748535,1.3621028250775484,-0.2227629722887181,0.19622281193733215,0.03850339192459362
WRD25,efficientnet_b3,0,20180108110717.jpg,compound_severe,compound,severe,0.001233673095703125,0.3071538419907604,0.22001737356185913,1.286763890883758,-0.10323599088549962,0.26812195777893066,0.07188938424320668
WRD25,efficientnet_b3,0,01105.jpg,compound_severe,compound,severe,0.00077362060546875,0.38988043284860896,0.26984256505966187,1.3919630781822003,0.2595934419183079,0.1444290727376938,0.020859757051870043
WRD25,efficientnet_b3,0,5-Cassia_siamea054.jpg,compound_severe,compound,severe,0.0007781982421875,0.4397923034012136,0.1550229787826538,1.5164347578049244,-0.030754524191279886,0.03345077857375145,0.001118954587190149
WRD25,efficientnet_b3,0,5-Cassia_siamea053.jpg,compound_severe,compound,severe,0.000726318359375,0.2674973625036872,0.1449224352836609,1.450234856659918,-0.021221826281603073,0.2415667027235031,0.058354471864705326
