dataset,backbone,class,image,condition,perturbation,severity,sgi,csi,feature_drift,cam_entropy,delta_entropy,cam_js_distance,cam_js_divergence
WRD25,efficientnet_b3,0,5-Cassia_siamea080.jpg,jpeg_70,jpeg,70,0.000879669189453125,0.9037835697536805,0.005289733409881592,1.5843252240715615,0.005985174764722823,0.024487964808940887,0.0005996604204839273
WRD25,efficientnet_b3,0,01201.jpg,jpeg_70,jpeg,70,0.005541229248046875,0.8333637748730339,0.002041757106781006,1.3867633981493266,-0.03855309534018936,0.0270544420927763,0.000731942836951386
WRD25,efficientnet_b3,0,5-Cassia_siamea097.jpg,jpeg_70,jpeg,70,0.000717926025390625,0.9555441878035008,0.005950927734375,1.584920058891559,0.00010935008294854498,0.006664039101451635,4.440941714567632e-05
WRD25,efficientnet_b3,0,5-Cassia_siamea038.jpg,jpeg_70,jpeg,70,0.0008575439453125,0.9256802371806909,0.006155788898468018,1.5070368894498694,0.0065943045247076615,0.014131047762930393,0.00019968651087822007
WRD25,efficientnet_b3,0,5-Cassia_siamea010.jpg,jpeg_70,jpeg,70,0.00072479248046875,0.244206383035372,0.0052754878997802734,1.5775834407812805,0.03208753022461641,0.054946932941675186,0.0030191654396969497
WRD25,efficientnet_b3,0,5-Cassia_siamea095.jpg,jpeg_70,jpeg,70,0.000909423828125,0.9224845387131512,0.0060904622077941895,1.5841046784537887,-0.0007611189124778761,0.011181559413671494,0.0001250272709214656
WRD25,efficientnet_b3,0,20180108110717.jpg,jpeg_70,jpeg,70,0.001397705078125,0.9194814724675999,0.0026817917823791504,1.4111161326818402,0.021116250912582624,0.012854214757680893,0.00016523083703658126
WRD25,efficientnet_b3,0,01105.jpg,jpeg_70,jpeg,70,0.00135955810546875,0.7808067711937551,0.002035856246948242,1.1053575333139583,-0.02701210294993417,0.018105773255228996,0.0003278190251697656
WRD25,efficientnet_b3,0,5-Cassia_siamea054.jpg,jpeg_70,jpeg,70,0.00082855224609375,0.933781734451781,0.004907071590423584,1.5463849354969503,-0.0008043464992539828,0.010361257009208202,0.0001073556468108661
WRD25,efficientnet_b3,0,5-Cassia_siamea053.jpg,jpeg_70,jpeg,70,0.001139068603515625,0.9213027710676522,0.006107687950134277,1.491879031017933,0.020422348076412078,0.018689017742872238,0.00034927938419339333
WRD25,efficientnet_b3,1,20180115180251.jpg,jpeg_70,jpeg,70,0.00118865966796875,0.8573982399818812,0.005187809467315674,1.3760053865581279,-0.0007547177458260279,0.006234574131667614,3.886991460325898e-05
WRD25,efficientnet_b3,1,WIN_20171014_15_52_23_Pro.jpg,jpeg_70,jpeg,70,0.00117034912109375,0.8598411271289198,0.0028873085975646973,1.1435785590052818,0.0076414506704900464,0.02100699208676815,0.0004412937165335397
WRD25,efficientnet_b3,1,20180115180049.jpg,jpeg_70,jpeg,70,0.001163482666015625,0.32718451974114093,0.01101154088973999,1.4900267444266362,0.012555020776912063,0.2222249060869217,0.049383908885341166
WRD25,efficientnet_b3,1,20180115180322.jpg,jpeg_70,jpeg,70,0.001107025146484375,0.8104694677214604,0.007622122764587402,1.335346822675619,-0.10261483351964262,0.05716271325945854,0.0032675757871830774
WRD25,efficientnet_b3,1,20180115175948.jpg,jpeg_70,jpeg,70,0.002272796630859375,0.33396108913450734,0.0075980424880981445,1.4734085864361608,0.06357794008557738,0.27160313725471497,0.07376826416660354
WRD25,efficientnet_b3,1,20180115180217.jpg,jpeg_70,jpeg,70,0.001467132568359375,0.9263485333552389,0.004814803600311279,1.3306604961387634,0.005878476156095047,0.004162462428212166,1.732609346627792e-05
WRD25,efficientnet_b3,1,WIN_20171014_15_51_07_Pro.jpg,jpeg_70,jpeg,70,0.001605224609375,0.913621363899528,0.0029574036598205566,1.2316963414409028,0.01157456733395068,0.007257635705173016,5.2673276029002215e-05
WRD25,efficientnet_b3,1,20180115175936.jpg,jpeg_70,jpeg,70,0.001238250732421875,0.8905733976340217,0.008117258548736572,1.3982476795006198,0.02657048074603141,0.0212741456925869,0.0004525892749494137
