dataset,backbone,class,image,condition,perturbation,severity,sgi,csi,feature_drift,cam_entropy,delta_entropy,cam_js_distance,cam_js_divergence
WRD25,efficientnet_b3,0,5-Cassia_siamea080.jpg,rotation_45,rotation,45,0.0006561279296875,0.19827051569130405,0.08350211381912231,1.563348090201007,-0.01499195910583162,0.045286625623703,0.0020508784603814334
WRD25,efficientnet_b3,0,01201.jpg,rotation_45,rotation,45,0.006678009033203125,0.18637068705317283,0.08691370487213135,1.5370710125303964,0.1117545190408804,0.2022937834262848,0.040922774812920615
WRD25,efficientnet_b3,0,5-Cassia_siamea097.jpg,rotation_45,rotation,45,0.00049896240234375,0.19195758644413732,0.12124735116958618,1.5720936088932875,-0.012717099915322994,0.04425510764122009,0.001958514552335977
WRD25,efficientnet_b3,0,5-Cassia_siamea038.jpg,rotation_45,rotation,45,0.000641632080078125,0.20401380029307425,0.0901300311088562,1.5542419448873228,0.05379935996216112,0.05673480033874512,0.003218837569477273
WRD25,efficientnet_b3,0,5-Cassia_siamea010.jpg,rotation_45,rotation,45,0.00056915283203125,0.2012948586300958,0.09610933065414429,1.3529454226026556,-0.19255048795400853,0.1260959655046463,0.01590019251654895
WRD25,efficientnet_b3,0,5-Cassia_siamea095.jpg,rotation_45,rotation,45,0.00059967041015625,0.1864635094124529,0.0867798924446106,1.5422010994878677,-0.04266469787839888,0.09124685078859329,0.008325987778835808
WRD25,efficientnet_b3,0,20180108110717.jpg,rotation_45,rotation,45,0.000711822509765625,0.22603909837799344,0.10408610105514526,1.3476370793387136,-0.04236280243054402,0.023160826414823532,0.0005364238802175875
WRD25,efficientnet_b3,0,01105.jpg,rotation_45,rotation,45,0.00384979248046875,0.1890494614249052,0.08786553144454956,1.5111171652232365,0.37874752895934405,0.21803049743175507,0.04753729781033855
WRD25,efficientnet_b3,0,5-Cassia_siamea054.jpg,rotation_45,rotation,45,0.0005035400390625,0.20316147124329295,0.1277763843536377,1.5839352890129743,0.03674600701677,0.06915918737649918,0.004782993198577723
WRD25,efficientnet_b3,0,5-Cassia_siamea053.jpg,rotation_45,rotation,45,0.00066680908203125,0.20691541085433376,0.11337906122207642,1.4409955068406828,-0.030461176100838205,0.019970403984189034,0.0003988170352917132
WRD25,efficientnet_b3,1,20180115180251.jpg,rotation_45,rotation,45,0.001183319091796875,0.2083190296691677,0.12316399812698364,1.4421629154005804,0.06540281109662649,0.04247307404875755,0.0018039620191512423
WRD25,efficientnet_b3,1,WIN_20171014_15_52_23_Pro.jpg,rotation_45,rotation,45,0.001358795166015625,0.22832689023172023,0.11402648687362671,1.1786843968359486,0.04274728850115683,0.029274463653564453,0.0008569942222038662
