dataset,backbone,class,image,condition,perturbation,severity,sgi,csi,feature_drift,cam_entropy,delta_entropy,cam_js_distance,cam_js_divergence
WRD25,resnet50,0,5-Cassia_siamea080.jpg,blur_2,gaussian_blur,2,0.00025787353515625,0.7113225903688035,0.00657045841217041,1.5194330616708078,-0.06475753325313827,0.11480724066495895,0.013180702509101805
WRD25,resnet50,0,01201.jpg,blur_2,gaussian_blur,2,0.003481292724609375,0.64877152803651,0.009092926979064941,1.573305186029839,0.025421765640119443,0.11992688477039337,0.01438245769073121
WRD25,resnet50,0,5-Cassia_siamea097.jpg,blur_2,gaussian_blur,2,0.00023956298828125,0.8942213480719495,0.006674230098724365,1.567882187888138,-0.009910371914497063,0.019152818247675896,0.00036683044682850677
WRD25,resnet50,0,5-Cassia_siamea038.jpg,blur_2,gaussian_blur,2,0.0005523681640625,0.7739357790788276,0.007049739360809326,1.554390297124407,-0.026856776289265305,0.08454610407352448,0.007148043714011232
WRD25,resnet50,0,5-Cassia_siamea010.jpg,blur_2,gaussian_blur,2,0.0003662109375,0.7974527902411027,0.006407439708709717,1.5769993664945265,-0.0034954858117666188,0.06326492875814438,0.004002451210773084
WRD25,resnet50,0,5-Cassia_siamea095.jpg,blur_2,gaussian_blur,2,0.00041046142578125,0.8734892612296786,0.00716710090637207,1.5772878437160531,-0.007267461820492649,0.03315353021025658,0.0010991565654023955
WRD25,resnet50,0,20180108110717.jpg,blur_2,gaussian_blur,2,0.00055389404296875,0.6340055852586036,0.004472196102142334,1.2990397509308906,-0.17077790577959684,0.117225281894207,0.013741766715176296
WRD25,resnet50,0,01105.jpg,blur_2,gaussian_blur,2,0.0022613525390625,0.7865747784263322,0.00800013542175293,1.4718357147574257,0.05960938696201268,0.04377329349517822,0.001916101223415012
WRD25,resnet50,0,5-Cassia_siamea054.jpg,blur_2,gaussian_blur,2,0.000418853759765625,0.7769524215092621,0.0064847469329833984,1.5673137534042088,-0.007645838572813535,0.09621785581111908,0.009257875776889302
WRD25,resnet50,0,5-Cassia_siamea053.jpg,blur_2,gaussian_blur,2,0.000408935546875,0.9147460982046723,0.006991446018218994,1.5831688770737102,0.006066420794150318,0.0199615228921175,0.000398462396172531
WRD25,resnet50,1,20180115180251.jpg,blur_2,gaussian_blur,2,0.001177978515625,0.8061602440844627,0.005045413970947266,1.4004739076112807,-0.10565382068513607,0.06926530599594116,0.004797682614711363
WRD25,resnet50,1,WIN_20171014_15_52_23_Pro.jpg,blur_2,gaussian_blur,2,0.0013671875,0.7648953011939922,0.004926621913909912,1.521894664819991,0.0833686413139414,0.05486094579100609,0.0030097233730837086
WRD25,resnet50,1,20180115180049.jpg,blur_2,gaussian_blur,2,0.000762939453125,0.8471647868879812,0.008304297924041748,1.504503862965369,-0.03420358548008773,0.03172874078154564,0.0010067129915825174
WRD25,resnet50,1,20180115180322.jpg,blur_2,gaussian_blur,2,0.000554656982421875,0.7582703746458407,0.0061421990394592285,1.3459954484028889,-0.0940635724682557,0.09842362999916077,0.0096872109422117
WRD25,resnet50,1,20180115175948.jpg,blur_2,gaussian_blur,2,0.00086212158203125,0.8696740138112681,0.006118476390838623,1.5311450782307365,-0.00029663873895069415,0.009894016198813915,9.789155654239216e-05
WRD25,resnet50,1,20180115180217.jpg,blur_2,gaussian_blur,2,0.00042724609375,0.8718334016158545,0.0046999454498291016,1.3046517263578346,0.02051771201386554,0.040020089596509933,0.0016016075713126826
WRD25,resnet50,1,WIN_20171014_15_51_07_Pro.jpg,blur_2,gaussian_blur,2,0.00149993896484375,0.7031911911383304,0.004731655120849609,1.3575146413761328,0.10369441499525633,0.07558858394622803,0.0057136340229959615
WRD25,resnet50,1,20180115175936.jpg,blur_2,gaussian_blur,2,0.000879669189453125,0.8288695668806015,0.0062983036041259766,1.5608452492357197,0.0046248315994072975,0.04724659398198128,0.0022322406428981895
WRD25,resnet50,1,WIN_20171014_15_50_38_Pro.jpg,blur_2,gaussian_blur,2,0.001158905029296875,0.568158592094723,0.004932582378387451,1.4814273464201668,0.10503834890944308,0.12989653646945953,0.01687311018676163
