dataset,backbone,class,image,condition,perturbation,severity,sgi,csi,feature_drift,cam_entropy,delta_entropy,cam_js_distance,cam_js_divergence
WRD25,resnet50,0,5-Cassia_siamea080.jpg,clean,clean,,0.00056304931640625,1.0,0.0,1.584190594923946,0.0,0.0,0.0
WRD25,resnet50,0,01201.jpg,clean,clean,,0.004070281982421875,1.0,0.0,1.5478834203897196,0.0,0.0,0.0
WRD25,resnet50,0,5-Cassia_siamea097.jpg,clean,clean,,0.000440216064453125,1.0,0.0,1.577792559802635,0.0,0.0,0.0
WRD25,resnet50,0,5-Cassia_siamea038.jpg,clean,clean,,0.00057525634765625,1.0,0.0,1.5812470734136723,0.0,0.0,0.0
WRD25,resnet50,0,5-Cassia_siamea010.jpg,clean,clean,,0.000725555419921875,1.0,-1.1920928955078125e-07,1.5804948523062932,0.0,0.0,0.0
WRD25,resnet50,0,5-Cassia_siamea095.jpg,clean,clean,,0.000707244873046875,1.0,0.0,1.5845553055365458,0.0,0.0,0.0
WRD25,resnet50,0,20180108110717.jpg,clean,clean,,0.00141448974609375,1.0,0.0,1.4698176567104875,0.0,0.0,0.0
WRD25,resnet50,0,01105.jpg,clean,clean,,0.00326690673828125,1.0,0.0,1.412226327795413,0.0,0.0,0.0
WRD25,resnet50,0,5-Cassia_siamea054.jpg,clean,clean,,0.000679779052734375,1.0,-1.1920928955078125e-07,1.5749595919770223,0.0,0.0,0.0
WRD25,resnet50,0,5-Cassia_siamea053.jpg,clean,clean,,0.000792694091796875,1.0,0.0,1.57710245627956,0.0,0.0,0.0
WRD25,resnet50,1,20180115180251.jpg,clean,clean,,0.001567840576171875,1.0,-1.1920928955078125e-07,1.5061277282964167,0.0,0.0,0.0
WRD25,resnet50,1,WIN_20171014_15_52_23_Pro.jpg,clean,clean,,0.00184173583984375,1.0,0.0,1.4385260235060495,0.0,0.0,0.0
WRD25,resnet50,1,20180115180049.jpg,clean,clean,,0.001084136962890625,1.0,-1.1920928955078125e-07,1.5387074484454568,0.0,0.0,0.0
WRD25,resnet50,1,20180115180322.jpg,clean,clean,,0.00055389404296875,1.0,0.0,1.4400590208711446,0.0,0.0,0.0
WRD25,resnet50,1,20180115175948.jpg,clean,clean,,0.001020050048828125,1.0,0.0,1.5314417169696872,0.0,0.0,0.0
WRD25,resnet50,1,20180115180217.jpg,clean,clean,,0.000417327880859375,1.0,-1.1920928955078125e-07,1.284134014343969,0.0,0.0,0.0
WRD25,resnet50,1,WIN_20171014_15_51_07_Pro.jpg,clean,clean,,0.002170562744140625,1.0,-1.1920928955078125e-07,1.2538202263808764,0.0,0.0,0.0
WRD25,resnet50,1,20180115175936.jpg,clean,clean,,0.001308441162109375,1.0,-1.1920928955078125e-07,1.5562204176363124,0.0,0.0,0.0
WRD25,resnet50,1,WIN_20171014_15_50_38_Pro.jpg,clean,clean,,0.0024749755859375,1.0,0.0,1.3763889975107237,0.0,0.0,0.0
WRD25,resnet50,1,20180115180055.jpg,clean,clean,,0.000830078125,1.0,0.0,1.5295640410454072,0.0,0.0,0.0
WRD25,resnet50,2,95b53916-d122-11e8-a233-b8ca3af93c9a.jpg,clean,clean,,0.001873016357421875,1.0,0.0,1.5164328769439064,0.0,0.0,0.0
WRD25,resnet50,2,20180108105744.jpg,clean,clean,,0.002135467529296875,1.0,-1.1920928955078125e-07,1.472229480464349,0.0,0.0,0.0
WRD25,resnet50,2,196cd24c-d122-11e8-83e7-b8ca3af93c9a.jpg,clean,clean,,0.001383209228515625,1.0,-1.1920928955078125e-07,1.4200074690773112,0.0,0.0,0.0
WRD25,resnet50,2,20180108105833.jpg,clean,clean,,0.004166412353515625,1.0,-1.1920928955078125e-07,1.5373219271808258,0.0,0.0,0.0
WRD25,resnet50,2,88cc1c38-d122-11e8-989d-b8ca3af93c9a.jpg,clean,clean,,0.002126312255859375,1.0,0.0,1.4992613127221937,0.0,0.0,0.0
WRD25,resnet50,2,c43e2f18-d122-11e8-ad2a-b8ca3af93c9a.jpg,clean,clean,,0.00187530517578125,1.0,0.0,1.5518793794933183,0.0,0.0,0.0
WRD25,resnet50,2,85819dbe-d122-11e8-8aa4-b8ca3af93c9a.jpg,clean,clean,,0.0020172119140625,1.0,0.0,1.4844607088121,0.0,0.0,0.0
WRD25,resnet50,2,WIN_20171029_13_36_00_Pro.jpg,clean,clean,,0.00241241455078125,1.0,0.0,1.5196429101642321,0.0,0.0,0.0
WRD25,resnet50,2,WIN_20171029_13_34_41_Pro.jpg,clean,clean,,0.00214996337890625,1.0,0.0,1.5202867612737718,0.0,0.0,0.0
WRD25,resnet50,2,b5896ec0-d121-11e8-ac03-b8ca3af93c9a.jpg,clean,clean,,0.0022125244140625,1.0,-1.1920928955078125e-07,1.3810838733329398,0.0,0.0,0.0
WRD25,resnet50,3,20180108104935.jpg,clean,clean,,0.002685546875,1.0,0.0,1.445174427742102,0.0,0.0,0.0
WRD25,resnet50,3,WIN_20171029_11_48_46_Pro.jpg,clean,clean,,0.0021209716796875,1.0,0.0,1.5651501515150377,0.0,0.0,0.0
WRD25,resnet50,3,20180108104934.jpg,clean,clean,,0.00310211181640625,1.0,-1.1920928955078125e-07,1.5734916905855747,0.0,0.0,0.0
WRD25,resnet50,3,20180108104941.jpg,clean,clean,,0.003060150146484375,1.0,0.0,1.5283609702684189,0.0,0.0,0.0
WRD25,resnet50,3,64d50d82-d125-11e8-b034-b8ca3af93c9a.jpg,clean,clean,,0.001816558837890625,1.0,-2.384185791015625e-07,1.532972006893923,0.0,0.0,0.0
WRD25,resnet50,3,20180108105019.jpg,clean,clean,,0.00290679931640625,1.0,0.0,1.5504684502930757,0.0,0.0,0.0
WRD25,resnet50,3,8717f642-d126-11e8-83a1-b8ca3af93c9a.jpg,clean,clean,,0.001226043701171875,1.0,0.0,1.5717701731734943,0.0,0.0,0.0
WRD25,resnet50,3,20180108104922.jpg,clean,clean,,0.003440093994140625,1.0,0.0,1.5490750543771592,0.0,0.0,0.0
WRD25,resnet50,3,20180108104957.jpg,clean,clean,,0.00309600830078125,1.0,-1.1920928955078125e-07,1.565476209983347,0.0,0.0,0.0
WRD25,resnet50,3,9a4e7ac4-d126-11e8-9324-b8ca3af93c9a.jpg,clean,clean,,0.0013092041015625,1.0,0.0,1.542346566324588,0.0,0.0,0.0
