backbone,k,sgi_mean_all,sgi_std_all,sil_mean_all
convnext_tiny,2,0.021639279363998464,0.002240509655401285,0.2968070109685262
convnext_tiny,3,0.05508859712310755,0.010219575985700433,0.17703886330127716
convnext_tiny,4,0.08977055099647395,0.020904760231695366,0.13492060701052347
convnext_tiny,5,0.11868717630906635,0.02967501394335027,0.115813709795475
convnext_tiny,6,0.13830004571627766,0.03413535205099886,0.10574522862831752
convnext_tiny,7,0.1577604491177926,0.041039807580043434,0.09929763029019038
convnext_tiny,8,0.17672428394238185,0.040229862554044,0.09352602064609528
dinov2_b,2,0.08488081803374332,0.04734928138066648,0.0858621597290039
dinov2_b,3,0.1607472378572712,0.07585842152976004,0.07858723898728688
dinov2_b,4,0.20641245192739663,0.09562698789843584,0.07731073846419652
dinov2_b,5,0.2329442009041728,0.09784050798188222,0.07677719742059708
dinov2_b,6,0.25383768502706133,0.10686420153621813,0.07671898355086644
dinov2_b,7,0.2749373304971532,0.11057144997707326,0.0767630785703659
dinov2_b,8,0.2931048824356628,0.10933997349649113,0.07694717744986217
efficientnet_b3,2,0.08325065061531726,0.011495150652081567,0.10172571241855621
efficientnet_b3,3,0.2365487072880024,0.021752065753643565,0.08465987195571263
efficientnet_b3,4,0.3468120098345129,0.027110427563625188,0.07725517203410466
efficientnet_b3,5,0.42354068465895,0.030001950847285467,0.0703314021229744
efficientnet_b3,6,0.4820523385551281,0.0324619996189321,0.06464847798148791
efficientnet_b3,7,0.5261455993098844,0.037545653541504194,0.0610183502237002
efficientnet_b3,8,0.5617101225549299,0.04058068244811332,0.058247910191615425
hrnet32,2,0.055794994197883446,0.015783386418306473,0.11669153968493144
hrnet32,3,0.13854355281296493,0.04400022313556227,0.09470939636230469
hrnet32,4,0.2115997321780829,0.07212857381915758,0.08189308394988377
hrnet32,5,0.26341239416831314,0.08490990446032418,0.07494309296210606
hrnet32,6,0.3026445131274335,0.09477470460738706,0.07108588020006816
hrnet32,7,0.33345441131920367,0.10384589478788911,0.0685345654686292
hrnet32,8,0.3609243105474797,0.10778575717655454,0.06570403774579366
mobilenetv3,2,0.07489088640648633,0.012355586362701213,0.127776970465978
mobilenetv3,3,0.17152172154115872,0.05550252091308943,0.10626751681168874
mobilenetv3,4,0.23178650396999112,0.06587801042952408,0.10560604184865952
mobilenetv3,5,0.2804665872953142,0.06640298172753442,0.10567417244116466
mobilenetv3,6,0.338219073522043,0.05642313022587966,0.10151827583710353
mobilenetv3,7,0.3906416538213288,0.052931425384890804,0.09701396028200786
mobilenetv3,8,0.4346276727302259,0.052912158411389285,0.09266106535991032
resnet50,2,0.042589379448578886,0.01830125079040338,0.09179982791344325
resnet50,3,0.10264314963728087,0.05042264859159072,0.05742411191264788
resnet50,4,0.15268497389095803,0.08038490822357482,0.049990542232990265
resnet50,5,0.19425481647090792,0.09282455241235206,0.04441949104269346
resnet50,6,0.23137239322156056,0.09980092899654742,0.041739740719397865
resnet50,7,0.2592871443067069,0.10021913903212645,0.040336464842160545
resnet50,8,0.2849008165113452,0.10911860140330198,0.03916599228978157
swin_tiny,2,0.04788937514910629,0.004263135284977109,0.17426672081152597
swin_tiny,3,0.11647992069089581,0.027603139075039796,0.1798034061988195
swin_tiny,4,0.1747609606633483,0.04761467241376388,0.18449905514717102
swin_tiny,5,0.2320962312685828,0.06387810062157713,0.17181741197903952
swin_tiny,6,0.2820606870315939,0.07351109887577655,0.16467646757761636
swin_tiny,7,0.3224015925034183,0.08886881892703631,0.15413089096546173
swin_tiny,8,0.34901043608908777,0.08910650214816804,0.14678469796975455
