dataset,backbone,perturbation,severity,tag,rule,accuracy,accuracy_std,acc_clean,drop
WRD25,resnet50,clean,0,original,knn1,0.95,0.0023606571822188,0.95,0.0
WRD25,resnet50,clean,0,original,knn3,0.9324074074074076,0.0103934927410387,0.9324074074074076,0.0
WRD25,resnet50,clean,0,original,knn5,0.9212962962962964,0.0050715051620848,0.9212962962962964,0.0
WRD25,resnet50,clean,0,original,knn10,0.9013888888888888,0.0133056554288888,0.9013888888888888,0.0
WRD25,resnet50,clean,0,original,nearest_centroid,0.7476851851851852,0.0101430103241697,0.7476851851851852,0.0
WRD25,resnet50,gaussian_blur,2,blur_2,knn1,0.7414272474513438,0.0,0.95,0.2085727525486561
WRD25,resnet50,gaussian_blur,2,blur_2,knn3,0.7428174235403151,0.0,0.9324074074074076,0.1895899838670923
WRD25,resnet50,gaussian_blur,2,blur_2,knn5,0.742354031510658,0.0,0.9212962962962964,0.1789422647856383
WRD25,resnet50,gaussian_blur,2,blur_2,knn10,0.7298424467099166,0.0,0.9013888888888888,0.1715464421789723
WRD25,resnet50,gaussian_blur,2,blur_2,nearest_centroid,0.592678405931418,0.0,0.7476851851851852,0.1550067792537672
WRD25,resnet50,gaussian_blur,4,blur_4,knn1,0.3938832252085264,0.0,0.95,0.5561167747914735
WRD25,resnet50,gaussian_blur,4,blur_4,knn3,0.38693234476367,0.0,0.9324074074074076,0.5454750626437375
WRD25,resnet50,gaussian_blur,4,blur_4,knn5,0.3934198331788693,0.0,0.9212962962962964,0.5278764631174271
WRD25,resnet50,gaussian_blur,4,blur_4,knn10,0.3985171455050973,0.0,0.9013888888888888,0.5028717433837916
WRD25,resnet50,gaussian_blur,4,blur_4,nearest_centroid,0.3382761816496756,0.0,0.7476851851851852,0.4094090035355096
WRD25,resnet50,gaussian_blur,6,blur_6,knn1,0.2618164967562558,0.0,0.95,0.6881835032437442
WRD25,resnet50,gaussian_blur,6,blur_6,knn3,0.2849860982391103,0.0,0.9324074074074076,0.6474213091682972
WRD25,resnet50,gaussian_blur,6,blur_6,knn5,0.2868396663577386,0.0,0.9212962962962964,0.6344566299385577
WRD25,resnet50,gaussian_blur,6,blur_6,knn10,0.2706209453197405,0.0,0.9013888888888888,0.6307679435691484
WRD25,resnet50,gaussian_blur,6,blur_6,nearest_centroid,0.2242817423540315,0.0,0.7476851851851852,0.5234034428311537
WRD25,resnet50,gaussian_blur,8,blur_8,knn1,0.2205746061167748,0.0,0.95,0.7294253938832251
WRD25,resnet50,gaussian_blur,8,blur_8,knn3,0.2284522706209453,0.0,0.9324074074074076,0.7039551367864622
WRD25,resnet50,gaussian_blur,8,blur_8,knn5,0.2428174235403151,0.0,0.9212962962962964,0.6784788727559813
WRD25,resnet50,gaussian_blur,8,blur_8,knn10,0.2367933271547729,0.0,0.9013888888888888,0.6645955617341159
WRD25,resnet50,gaussian_blur,8,blur_8,nearest_centroid,0.1974050046339203,0.0,0.7476851851851852,0.5502801805512649
WRD25,resnet50,gaussian_blur,10,blur_10,knn1,0.1788693234476367,0.0,0.95,0.7711306765523632
WRD25,resnet50,gaussian_blur,10,blur_10,knn3,0.1723818350324374,0.0,0.9324074074074076,0.76002557237497
