dataset,backbone,perturbation,severity,tag,rule,accuracy,accuracy_std,acc_clean,drop
DTSR14,mobilenetv3,clean,0,original,knn1,0.9766423357664233,0.0028541864182231817,0.9766423357664233,0.0
DTSR14,mobilenetv3,clean,0,original,knn3,0.9747332959011791,0.0033688938798427897,0.9747332959011791,0.0
DTSR14,mobilenetv3,clean,0,original,knn5,0.9712521055586748,0.0020827891062315026,0.9712521055586748,0.0
DTSR14,mobilenetv3,clean,0,original,knn10,0.9679955081414935,0.002585258716051966,0.9679955081414935,0.0
DTSR14,mobilenetv3,clean,0,original,nearest_centroid,0.8565974171813588,0.00812579562723215,0.8565974171813588,0.0
DTSR14,mobilenetv3,gaussian_blur,2,blur_2,knn1,0.7745703695383579,0.0,0.9766423357664233,0.20207196622806545
DTSR14,mobilenetv3,gaussian_blur,2,blur_2,knn3,0.733460631247894,0.0,0.9747332959011791,0.24127266465328512
DTSR14,mobilenetv3,gaussian_blur,2,blur_2,knn5,0.7277322250926654,0.0,0.9712521055586748,0.24351988046600936
DTSR14,mobilenetv3,gaussian_blur,2,blur_2,knn10,0.7180725598112996,0.0,0.9679955081414935,0.2499229483301939
DTSR14,mobilenetv3,gaussian_blur,2,blur_2,nearest_centroid,0.6251825227451421,0.0,0.8565974171813588,0.23141489443621677
DTSR14,mobilenetv3,gaussian_blur,4,blur_4,knn1,0.19532741772436257,0.0,0.9766423357664233,0.7813149180420608
DTSR14,mobilenetv3,gaussian_blur,4,blur_4,knn3,0.19476580927777154,0.0,0.9747332959011791,0.7799674866234075
DTSR14,mobilenetv3,gaussian_blur,4,blur_4,knn5,0.2001572503650455,0.0,0.9712521055586748,0.7710948551936293
DTSR14,mobilenetv3,gaussian_blur,4,blur_4,knn10,0.20566101314163765,0.0,0.9679955081414935,0.7623344949998558
DTSR14,mobilenetv3,gaussian_blur,4,blur_4,nearest_centroid,0.1864540042682242,0.0,0.8565974171813588,0.6701434129131346
DTSR14,mobilenetv3,gaussian_blur,6,blur_6,knn1,0.1115354374929799,0.0,0.9766423357664233,0.8651068982734434
DTSR14,mobilenetv3,gaussian_blur,6,blur_6,knn3,0.10940132539593396,0.0,0.9747332959011791,0.8653319705052451
DTSR14,mobilenetv3,gaussian_blur,6,blur_6,knn5,0.10693024823093339,0.0,0.9712521055586748,0.8643218573277414
DTSR14,mobilenetv3,gaussian_blur,6,blur_6,knn10,0.10973829046388858,0.0,0.9679955081414935,0.8582572176776049
DTSR14,mobilenetv3,gaussian_blur,6,blur_6,nearest_centroid,0.0932270021341121,0.0,0.8565974171813588,0.7633704150472468
DTSR14,mobilenetv3,gaussian_blur,8,blur_8,knn1,0.08996967314388409,0.0,0.9766423357664233,0.8866726626225393
DTSR14,mobilenetv3,gaussian_blur,8,blur_8,knn3,0.08019768617320004,0.0,0.9747332959011791,0.8945356097279791
DTSR14,mobilenetv3,gaussian_blur,8,blur_8,knn5,0.07772660900819948,0.0,0.9712521055586748,0.8935254965504753
DTSR14,mobilenetv3,gaussian_blur,8,blur_8,knn10,0.08177018982365494,0.0,0.9679955081414935,0.8862253183178386
DTSR14,mobilenetv3,gaussian_blur,8,blur_8,nearest_centroid,0.08154554644501853,0.0,0.8565974171813588,0.7750518707363403
DTSR14,mobilenetv3,gaussian_blur,10,blur_10,knn1,0.09670897450297652,0.0,0.9766423357664233,0.8799333612634468
DTSR14,mobilenetv3,gaussian_blur,10,blur_10,knn3,0.08547680557115579,0.0,0.9747332959011791,0.8892564903300233
DTSR14,mobilenetv3,gaussian_blur,10,blur_10,knn5,0.08817252611479276,0.0,0.9712521055586748,0.883079579443882
DTSR14,mobilenetv3,gaussian_blur,10,blur_10,knn10,0.09210378524093002,0.0,0.9679955081414935,0.8758917229005635
DTSR14,mobilenetv3,gaussian_blur,10,blur_10,nearest_centroid,0.07053802089183421,0.0,0.8565974171813588,0.7860593962895246
DTSR14,mobilenetv3,gaussian_blur,12,blur_12,knn1,0.18533078737504213,0.0,0.9766423357664233,0.7913115483913812
DTSR14,mobilenetv3,gaussian_blur,12,blur_12,knn3,0.17949005953049535,0.0,0.9747332959011791,0.7952432363706837
DTSR14,mobilenetv3,gaussian_blur,12,blur_12,knn5,0.1865663259575424,0.0,0.9712521055586748,0.7846857796011324
DTSR14,mobilenetv3,gaussian_blur,12,blur_12,knn10,0.18892508143322476,0.0,0.9679955081414935,0.7790704267082688
DTSR14,mobilenetv3,gaussian_blur,12,blur_12,nearest_centroid,0.06357407615410536,0.0,0.8565974171813588,0.7930233410272535
DTSR14,mobilenetv3,defocus_blur,3,defocus_3,knn1,0.8657755812647422,0.0,0.9766423357664233,0.11086675450168115
DTSR14,mobilenetv3,defocus_blur,3,defocus_3,knn3,0.7989441761204088,0.0,0.9747332959011791,0.17578911978077028
DTSR14,mobilenetv3,defocus_blur,3,defocus_3,knn5,0.7920925530719982,0.0,0.9712521055586748,0.1791595524866766
DTSR14,mobilenetv3,defocus_blur,3,defocus_3,knn10,0.7787262720431315,0.0,0.9679955081414935,0.189269236098362
DTSR14,mobilenetv3,defocus_blur,3,defocus_3,nearest_centroid,0.6798831854431091,0.0,0.8565974171813588,0.17671423173824974
DTSR14,mobilenetv3,defocus_blur,5,defocus_5,knn1,0.41356846006963943,0.0,0.9766423357664233,0.5630738756967839
DTSR14,mobilenetv3,defocus_blur,5,defocus_5,knn3,0.40739076715713807,0.0,0.9747332959011791,0.567342528744041
DTSR14,mobilenetv3,defocus_blur,5,defocus_5,knn5,0.4080646972930473,0.0,0.9712521055586748,0.5631874082656275
DTSR14,mobilenetv3,defocus_blur,5,defocus_5,knn10,0.4158148938560036,0.0,0.9679955081414935,0.5521806142854899
DTSR14,mobilenetv3,defocus_blur,5,defocus_5,nearest_centroid,0.4465910367291924,0.0,0.8565974171813588,0.4100063804521664
DTSR14,mobilenetv3,defocus_blur,8,defocus_8,knn1,0.19027294170504325,0.0,0.9766423357664233,0.7863693940613801
DTSR14,mobilenetv3,defocus_blur,8,defocus_8,knn3,0.19308098393799844,0.0,0.9747332959011791,0.7816523119631806
DTSR14,mobilenetv3,defocus_blur,8,defocus_8,knn5,0.19667527799618106,0.0,0.9712521055586748,0.7745768275624938
DTSR14,mobilenetv3,defocus_blur,8,defocus_8,knn10,0.20554869145231944,0.0,0.9679955081414935,0.762446816689174
DTSR14,mobilenetv3,defocus_blur,8,defocus_8,nearest_centroid,0.18241042345276873,0.0,0.8565974171813588,0.6741869937285901
DTSR14,mobilenetv3,defocus_blur,11,defocus_11,knn1,0.12714815230821072,0.0,0.9766423357664233,0.8494941834582126
DTSR14,mobilenetv3,defocus_blur,11,defocus_11,knn3,0.12770976075480175,0.0,0.9747332959011791,0.8470235351463773
DTSR14,mobilenetv3,defocus_blur,11,defocus_11,knn5,0.1405144333370774,0.0,0.9712521055586748,0.8307376722215974
DTSR14,mobilenetv3,defocus_blur,11,defocus_11,knn10,0.15017409861844322,0.0,0.9679955081414935,0.8178214095230503
DTSR14,mobilenetv3,defocus_blur,11,defocus_11,nearest_centroid,0.08603841401774683,0.0,0.8565974171813588,0.770559003163612
DTSR14,mobilenetv3,defocus_blur,15,defocus_15,knn1,0.08626305739638324,0.0,0.9766423357664233,0.8903792783700402
DTSR14,mobilenetv3,defocus_blur,15,defocus_15,knn3,0.0766033921150174,0.0,0.9747332959011791,0.8981299037861616
DTSR14,mobilenetv3,defocus_blur,15,defocus_15,knn5,0.09378861058070313,0.0,0.9712521055586748,0.8774634949779717
DTSR14,mobilenetv3,defocus_blur,15,defocus_15,knn10,0.10513310120184208,0.0,0.9679955081414935,0.8628624069396514
DTSR14,mobilenetv3,defocus_blur,15,defocus_15,nearest_centroid,0.056160844659103676,0.0,0.8565974171813588,0.8004365725222552
DTSR14,mobilenetv3,resize,1.33,resize_1_33,knn1,0.9123890823317983,0.0,0.9766423357664233,0.06425325343462507
DTSR14,mobilenetv3,resize,1.33,resize_1_33,knn3,0.8967763675165674,0.0,0.9747332959011791,0.07795692838461166
DTSR14,mobilenetv3,resize,1.33,resize_1_33,knn5,0.8926204650117938,0.0,0.9712521055586748,0.07863164054688099
DTSR14,mobilenetv3,resize,1.33,resize_1_33,knn10,0.8790295406042907,0.0,0.9679955081414935,0.08896596753720276
DTSR14,mobilenetv3,resize,1.33,resize_1_33,nearest_centroid,0.7960238121981354,0.0,0.8565974171813588,0.060573604983223395
DTSR14,mobilenetv3,resize,1.67,resize_1_67,knn1,0.7527799618106257,0.0,0.9766423357664233,0.22386237395579767
DTSR14,mobilenetv3,resize,1.67,resize_1_67,knn3,0.7476131641019881,0.0,0.9747332959011791,0.227120131799191
DTSR14,mobilenetv3,resize,1.67,resize_1_67,knn5,0.7500842412669887,0.0,0.9712521055586748,0.2211678642916861
DTSR14,mobilenetv3,resize,1.67,resize_1_67,knn10,0.7436819049758508,0.0,0.9679955081414935,0.22431360316564264
DTSR14,mobilenetv3,resize,1.67,resize_1_67,nearest_centroid,0.7072896776367517,0.0,0.8565974171813588,0.1493077395446072
DTSR14,mobilenetv3,resize,2.0,resize_2_0,knn1,0.5959788835224081,0.0,0.9766423357664233,0.3806634522440152
DTSR14,mobilenetv3,resize,2.0,resize_2_0,knn3,0.5963158485903628,0.0,0.9747332959011791,0.3784174473108163
DTSR14,mobilenetv3,resize,2.0,resize_2_0,knn5,0.6045153319105919,0.0,0.9712521055586748,0.3667367736480829
DTSR14,mobilenetv3,resize,2.0,resize_2_0,knn10,0.6079973042794563,0.0,0.9679955081414935,0.3599982038620372
DTSR14,mobilenetv3,resize,2.0,resize_2_0,nearest_centroid,0.6132764236774121,0.0,0.8565974171813588,0.24332099350394676
DTSR14,mobilenetv3,illumination,0.7,brightness_0_7,knn1,0.9996630349320453,0.0,0.9766423357664233,-0.023020699165621994
DTSR14,mobilenetv3,illumination,0.7,brightness_0_7,knn3,0.9760754801752218,0.0,0.9747332959011791,-0.001342184274042757
DTSR14,mobilenetv3,illumination,0.7,brightness_0_7,knn5,0.9667527799618106,0.0,0.9712521055586748,0.004499325596864168
DTSR14,mobilenetv3,illumination,0.7,brightness_0_7,knn10,0.9551836459620353,0.0,0.9679955081414935,0.012811862179458178
DTSR14,mobilenetv3,illumination,0.7,brightness_0_7,nearest_centroid,0.8133213523531394,0.0,0.8565974171813588,0.04327606482821944
DTSR14,mobilenetv3,illumination,0.85,brightness_0_85,knn1,1.0,0.0,0.9766423357664233,-0.023357664233576658
DTSR14,mobilenetv3,illumination,0.85,brightness_0_85,knn3,0.9888801527574975,0.0,0.9747332959011791,-0.014146856856318446
DTSR14,mobilenetv3,illumination,0.85,brightness_0_85,knn5,0.9846119285634056,0.0,0.9712521055586748,-0.01335982300473082
DTSR14,mobilenetv3,illumination,0.85,brightness_0_85,knn10,0.9741660114568124,0.0,0.9679955081414935,-0.006170503315318876
