dataset,backbone,perturbation,severity,tag,rule,accuracy,accuracy_std,acc_clean,drop
DTSR14,resnet50,clean,0,original,knn1,0.9743964065131949,0.004240585645929063,0.9743964065131949,0.0
DTSR14,resnet50,clean,0,original,knn3,0.9736103312745648,0.004017640386299474,0.9736103312745648,0.0
DTSR14,resnet50,clean,0,original,knn5,0.9734980348119034,0.0049000391306617454,0.9734980348119034,0.0
DTSR14,resnet50,clean,0,original,knn10,0.9688938798427849,0.00257548454602576,0.9688938798427849,0.0
DTSR14,resnet50,clean,0,original,nearest_centroid,0.8325659741718135,0.003450261986690001,0.8325659741718135,0.0
DTSR14,resnet50,gaussian_blur,2,blur_2,knn1,0.7594069414803999,0.0,0.9743964065131949,0.21498946503279504
DTSR14,resnet50,gaussian_blur,2,blur_2,knn3,0.7276199034033471,0.0,0.9736103312745648,0.2459904278712176
DTSR14,resnet50,gaussian_blur,2,blur_2,knn5,0.7175109513647085,0.0,0.9734980348119034,0.2559870834471949
DTSR14,resnet50,gaussian_blur,2,blur_2,knn10,0.7117825452094799,0.0,0.9688938798427849,0.25711133463330493
DTSR14,resnet50,gaussian_blur,2,blur_2,nearest_centroid,0.5881163652701337,0.0,0.8325659741718135,0.24444960890167988
DTSR14,resnet50,gaussian_blur,4,blur_4,knn1,0.25171290576210265,0.0,0.9743964065131949,0.7226835007510923
DTSR14,resnet50,gaussian_blur,4,blur_4,knn3,0.26092328428619566,0.0,0.9736103312745648,0.712687046988369
DTSR14,resnet50,gaussian_blur,4,blur_4,knn5,0.2793440413343817,0.0,0.9734980348119034,0.6941539934775218
DTSR14,resnet50,gaussian_blur,4,blur_4,knn10,0.30697517690666065,0.0,0.9688938798427849,0.6619187029361242
DTSR14,resnet50,gaussian_blur,4,blur_4,nearest_centroid,0.21352353139391217,0.0,0.8325659741718135,0.6190424427779013
DTSR14,resnet50,gaussian_blur,6,blur_6,knn1,0.12512636190048299,0.0,0.9743964065131949,0.8492700446127119
DTSR14,resnet50,gaussian_blur,6,blur_6,knn3,0.11805009547343592,0.0,0.9736103312745648,0.8555602358011288
DTSR14,resnet50,gaussian_blur,6,blur_6,knn5,0.12467707514321015,0.0,0.9734980348119034,0.8488209596686933
DTSR14,resnet50,gaussian_blur,6,blur_6,knn10,0.13276423677412108,0.0,0.9688938798427849,0.8361296430686638
DTSR14,resnet50,gaussian_blur,6,blur_6,nearest_centroid,0.07514321015388072,0.0,0.8325659741718135,0.7574227640179328
DTSR14,resnet50,gaussian_blur,8,blur_8,knn1,0.11299561945411658,0.0,0.9743964065131949,0.8614007870590783
DTSR14,resnet50,gaussian_blur,8,blur_8,knn3,0.10333595417275075,0.0,0.9736103312745648,0.870274377101814
DTSR14,resnet50,gaussian_blur,8,blur_8,knn5,0.10479613613388745,0.0,0.9734980348119034,0.868701898678016
DTSR14,resnet50,gaussian_blur,8,blur_8,knn10,0.12074581601707289,0.0,0.9688938798427849,0.848148063825712
DTSR14,resnet50,gaussian_blur,8,blur_8,nearest_centroid,0.06930248230933393,0.0,0.8325659741718135,0.7632634918624797
DTSR14,resnet50,gaussian_blur,10,blur_10,knn1,0.1055823879591149,0.0,0.9743964065131949,0.86881401855408
DTSR14,resnet50,gaussian_blur,10,blur_10,knn3,0.09693361788161294,0.0,0.9736103312745648,0.8766767133929518
DTSR14,resnet50,gaussian_blur,10,blur_10,knn5,0.09727058294956756,0.0,0.9734980348119034,0.8762274518623359
DTSR14,resnet50,gaussian_blur,10,blur_10,knn10,0.122430641356846,0.0,0.9688938798427849,0.8464632384859389
DTSR14,resnet50,gaussian_blur,10,blur_10,nearest_centroid,0.06177692912501404,0.0,0.8325659741718135,0.7707890450467995
DTSR14,resnet50,gaussian_blur,12,blur_12,knn1,0.11760080871616309,0.0,0.9743964065131949,0.8567955977970318
DTSR14,resnet50,gaussian_blur,12,blur_12,knn3,0.11434347972593507,0.0,0.9736103312745648,0.8592668515486297
DTSR14,resnet50,gaussian_blur,12,blur_12,knn5,0.12052117263843648,0.0,0.9734980348119034,0.852976862173467
DTSR14,resnet50,gaussian_blur,12,blur_12,knn10,0.15253285409412556,0.0,0.9688938798427849,0.8163610257486593
DTSR14,resnet50,gaussian_blur,12,blur_12,nearest_centroid,0.053465124115466695,0.0,0.8325659741718135,0.7791008500563469
DTSR14,resnet50,defocus_blur,3,defocus_3,knn1,0.8542064472649669,0.0,0.9743964065131949,0.12018995924822806
DTSR14,resnet50,defocus_blur,3,defocus_3,knn3,0.8029877569358643,0.0,0.9736103312745648,0.17062257433870043
DTSR14,resnet50,defocus_blur,3,defocus_3,knn5,0.7945636302369987,0.0,0.9734980348119034,0.17893440457490473
DTSR14,resnet50,defocus_blur,3,defocus_3,knn10,0.7855778950915422,0.0,0.9688938798427849,0.18331598475124267
DTSR14,resnet50,defocus_blur,3,defocus_3,nearest_centroid,0.6896551724137931,0.0,0.8325659741718135,0.1429108017580204
DTSR14,resnet50,defocus_blur,5,defocus_5,knn1,0.5544198584746715,0.0,0.9743964065131949,0.41997654803852347
DTSR14,resnet50,defocus_blur,5,defocus_5,knn3,0.5519487813096708,0.0,0.9736103312745648,0.4216615499648939
DTSR14,resnet50,defocus_blur,5,defocus_5,knn5,0.5553184319892172,0.0,0.9734980348119034,0.4181796028226863
DTSR14,resnet50,defocus_blur,5,defocus_5,knn10,0.5575648657755813,0.0,0.9688938798427849,0.41132901406720357
DTSR14,resnet50,defocus_blur,5,defocus_5,nearest_centroid,0.4645625070201056,0.0,0.8325659741718135,0.36800346715170795
DTSR14,resnet50,defocus_blur,8,defocus_8,knn1,0.33404470403234865,0.0,0.9743964065131949,0.6403517024808463
DTSR14,resnet50,defocus_blur,8,defocus_8,knn3,0.35269010445917104,0.0,0.9736103312745648,0.6209202268153937
