dataset,backbone,perturbation,severity,tag,rule,accuracy,accuracy_std,acc_clean,drop
DTSR14,swin_tiny,clean,0,original,knn1,0.9815833801235261,0.001299925536528948,0.9815833801235261,0.0
DTSR14,swin_tiny,clean,0,original,knn3,0.9827063447501404,0.002805164738191289,0.9827063447501404,0.0
DTSR14,swin_tiny,clean,0,original,knn5,0.9805727119595733,0.0016504142006399864,0.9805727119595733,0.0
DTSR14,swin_tiny,clean,0,original,knn10,0.9778775968556991,0.002177509200411633,0.9778775968556991,0.0
DTSR14,swin_tiny,clean,0,original,nearest_centroid,0.8760247052217854,0.008216848121247258,0.8760247052217854,0.0
DTSR14,swin_tiny,gaussian_blur,2,blur_2,knn1,0.9065483544872515,0.0,0.9815833801235261,0.07503502563627462
DTSR14,swin_tiny,gaussian_blur,2,blur_2,knn3,0.8750982814781534,0.0,0.9827063447501404,0.10760806327198702
DTSR14,swin_tiny,gaussian_blur,2,blur_2,knn5,0.8680220150511063,0.0,0.9805727119595733,0.11255069690846697
DTSR14,swin_tiny,gaussian_blur,2,blur_2,knn10,0.8562282376726946,0.0,0.9778775968556991,0.12164935918300446
DTSR14,swin_tiny,gaussian_blur,2,blur_2,nearest_centroid,0.6923508929574301,0.0,0.8760247052217854,0.1836738122643553
DTSR14,swin_tiny,gaussian_blur,4,blur_4,knn1,0.41682578905986745,0.0,0.9815833801235261,0.5647575910636586
DTSR14,swin_tiny,gaussian_blur,4,blur_4,knn3,0.4278333146130518,0.0,0.9827063447501404,0.5548730301370886
DTSR14,swin_tiny,gaussian_blur,4,blur_4,knn5,0.4480512186903291,0.0,0.9805727119595733,0.5325214932692441
DTSR14,swin_tiny,gaussian_blur,4,blur_4,knn10,0.46804447938897004,0.0,0.9778775968556991,0.509833117466729
DTSR14,swin_tiny,gaussian_blur,4,blur_4,nearest_centroid,0.3140514433337077,0.0,0.8760247052217854,0.5619732618880777
DTSR14,swin_tiny,gaussian_blur,6,blur_6,knn1,0.1986970684039088,0.0,0.9815833801235261,0.7828863117196173
DTSR14,swin_tiny,gaussian_blur,6,blur_6,knn3,0.21913961585982253,0.0,0.9827063447501404,0.7635667288903178
DTSR14,swin_tiny,gaussian_blur,6,blur_6,knn5,0.23003481972368864,0.0,0.9805727119595733,0.7505378922358846
DTSR14,swin_tiny,gaussian_blur,6,blur_6,knn10,0.24497360440301022,0.0,0.9778775968556991,0.7329039924526889
DTSR14,swin_tiny,gaussian_blur,6,blur_6,nearest_centroid,0.11479276648320791,0.0,0.8760247052217854,0.7612319387385775
DTSR14,swin_tiny,gaussian_blur,8,blur_8,knn1,0.15792429518139953,0.0,0.9815833801235261,0.8236590849421266
DTSR14,swin_tiny,gaussian_blur,8,blur_8,knn3,0.17971470290913175,0.0,0.9827063447501404,0.8029916418410087
DTSR14,swin_tiny,gaussian_blur,8,blur_8,knn5,0.18600471751095138,0.0,0.9805727119595733,0.7945679944486219
DTSR14,swin_tiny,gaussian_blur,8,blur_8,knn10,0.19847242502527238,0.0,0.9778775968556991,0.7794051718304267
DTSR14,swin_tiny,gaussian_blur,8,blur_8,nearest_centroid,0.08075929461979107,0.0,0.8760247052217854,0.7952654106019944
DTSR14,swin_tiny,gaussian_blur,10,blur_10,knn1,0.1574750084241267,0.0,0.9815833801235261,0.8241083716993993
DTSR14,swin_tiny,gaussian_blur,10,blur_10,knn3,0.16488823991912838,0.0,0.9827063447501404,0.817818104831012
DTSR14,swin_tiny,gaussian_blur,10,blur_10,knn5,0.16005840727844547,0.0,0.9805727119595733,0.8205143046811278
DTSR14,swin_tiny,gaussian_blur,10,blur_10,knn10,0.16488823991912838,0.0,0.9778775968556991,0.8129893569365707
DTSR14,swin_tiny,gaussian_blur,10,blur_10,nearest_centroid,0.07087498595978883,0.0,0.8760247052217854,0.8051497192619966
DTSR14,swin_tiny,gaussian_blur,12,blur_12,knn1,0.14613051780298775,0.0,0.9815833801235261,0.8354528623205384
DTSR14,swin_tiny,gaussian_blur,12,blur_12,knn3,0.16477591822981016,0.0,0.9827063447501404,0.8179304265203302
DTSR14,swin_tiny,gaussian_blur,12,blur_12,knn5,0.1497248118611704,0.0,0.9805727119595733,0.8308479000984029
DTSR14,swin_tiny,gaussian_blur,12,blur_12,knn10,0.1724137931034483,0.0,0.9778775968556991,0.8054638037522508
DTSR14,swin_tiny,gaussian_blur,12,blur_12,nearest_centroid,0.08985735145456587,0.0,0.8760247052217854,0.7861673537672196
DTSR14,swin_tiny,defocus_blur,3,defocus_3,knn1,0.8828484780411098,0.0,0.9815833801235261,0.09873490208241631
DTSR14,swin_tiny,defocus_blur,3,defocus_3,knn3,0.8501628664495114,0.0,0.9827063447501404,0.13254347830062896
DTSR14,swin_tiny,defocus_blur,3,defocus_3,knn5,0.8434235650904189,0.0,0.9805727119595733,0.13714914686915436
DTSR14,swin_tiny,defocus_blur,3,defocus_3,knn10,0.8325283612265528,0.0,0.9778775968556991,0.14534923562914626
DTSR14,swin_tiny,defocus_blur,3,defocus_3,nearest_centroid,0.6712344153656071,0.0,0.8760247052217854,0.2047902898561783
DTSR14,swin_tiny,defocus_blur,5,defocus_5,knn1,0.6649444007637875,0.0,0.9815833801235261,0.3166389793597386
DTSR14,swin_tiny,defocus_blur,5,defocus_5,knn3,0.6568572391328765,0.0,0.9827063447501404,0.3258491056172639
DTSR14,swin_tiny,defocus_blur,5,defocus_5,knn5,0.6621363585308323,0.0,0.9805727119595733,0.318436353428741
DTSR14,swin_tiny,defocus_blur,5,defocus_5,knn10,0.67168370212288,0.0,0.9778775968556991,0.3061938947328191
DTSR14,swin_tiny,defocus_blur,5,defocus_5,nearest_centroid,0.4878130967089745,0.0,0.8760247052217854,0.38821160851281095
DTSR14,swin_tiny,defocus_blur,8,defocus_8,knn1,0.3790857014489498,0.0,0.9815833801235261,0.6024976786745763
DTSR14,swin_tiny,defocus_blur,8,defocus_8,knn3,0.3881837582837246,0.0,0.9827063447501404,0.5945225864664159
DTSR14,swin_tiny,defocus_blur,8,defocus_8,knn5,0.40918791418622935,0.0,0.9805727119595733,0.5713847977733439
DTSR14,swin_tiny,defocus_blur,8,defocus_8,knn10,0.43659440637987196,0.0,0.9778775968556991,0.5412831904758271
DTSR14,swin_tiny,defocus_blur,8,defocus_8,nearest_centroid,0.24418735257778276,0.0,0.8760247052217854,0.6318373526440026
DTSR14,swin_tiny,defocus_blur,11,defocus_11,knn1,0.16387734471526452,0.0,0.9815833801235261,0.8177060354082616
DTSR14,swin_tiny,defocus_blur,11,defocus_11,knn3,0.18611703920026956,0.0,0.9827063447501404,0.7965893055498708
DTSR14,swin_tiny,defocus_blur,11,defocus_11,knn5,0.20386386611254634,0.0,0.9805727119595733,0.7767088458470269
DTSR14,swin_tiny,defocus_blur,11,defocus_11,knn10,0.23486465236437157,0.0,0.9778775968556991,0.7430129444913275
DTSR14,swin_tiny,defocus_blur,11,defocus_11,nearest_centroid,0.11355722790070763,0.0,0.8760247052217854,0.7624674773210778
DTSR14,swin_tiny,defocus_blur,15,defocus_15,knn1,0.09109289003706615,0.0,0.9815833801235261,0.89049049008646
DTSR14,swin_tiny,defocus_blur,15,defocus_15,knn3,0.09760754801752218,0.0,0.9827063447501404,0.8850987967326183
DTSR14,swin_tiny,defocus_blur,15,defocus_15,knn5,0.10254970234752331,0.0,0.9805727119595733,0.87802300961205
DTSR14,swin_tiny,defocus_blur,15,defocus_15,knn10,0.12186903291025497,0.0,0.9778775968556991,0.8560085639454441
DTSR14,swin_tiny,defocus_blur,15,defocus_15,nearest_centroid,0.07806357407615411,0.0,0.8760247052217854,0.7979611311456314
DTSR14,swin_tiny,resize,1.33,resize_1_33,knn1,0.8870043805458834,0.0,0.9815833801235261,0.09457899957764271
DTSR14,swin_tiny,resize,1.33,resize_1_33,knn3,0.8845333033808829,0.0,0.9827063447501404,0.09817304136925753
DTSR14,swin_tiny,resize,1.33,resize_1_33,knn5,0.8852072335167921,0.0,0.9805727119595733,0.0953654784427812
DTSR14,swin_tiny,resize,1.33,resize_1_33,knn10,0.8818375828372459,0.0,0.9778775968556991,0.09604001401845319
DTSR14,swin_tiny,resize,1.33,resize_1_33,nearest_centroid,0.7966977423340447,0.0,0.8760247052217854,0.07932696288774077
DTSR14,swin_tiny,resize,1.67,resize_1_67,knn1,0.8171402897899585,0.0,0.9815833801235261,0.16444309033356763
DTSR14,swin_tiny,resize,1.67,resize_1_67,knn3,0.8207345838481411,0.0,0.9827063447501404,0.16197176090199927
DTSR14,swin_tiny,resize,1.67,resize_1_67,knn5,0.8211838706054139,0.0,0.9805727119595733,0.15938884135415943
DTSR14,swin_tiny,resize,1.67,resize_1_67,knn10,0.8202852970908683,0.0,0.9778775968556991,0.1575922997648308
