dataset,backbone,perturbation,severity,tag,rule,accuracy,accuracy_std,acc_clean,drop
PCA11,convnext_tiny,clean,0,original,knn1,0.928578045391385,0.0047991973495094655,0.928578045391385,0.0
PCA11,convnext_tiny,clean,0,original,knn3,0.9282075034738305,0.006913611174449399,0.9282075034738305,0.0
PCA11,convnext_tiny,clean,0,original,knn5,0.9271885132005557,0.0033194021060062723,0.9271885132005557,0.0
PCA11,convnext_tiny,clean,0,original,knn10,0.9199629458082444,0.0028005959162262393,0.9199629458082444,0.0
PCA11,convnext_tiny,clean,0,original,nearest_centroid,0.8182491894395554,0.007015876323765261,0.8182491894395554,0.0
PCA11,convnext_tiny,gaussian_blur,2,blur_2,knn1,0.6981009726725336,0.0,0.928578045391385,0.23047707271885143
PCA11,convnext_tiny,gaussian_blur,2,blur_2,knn3,0.7073645206113942,0.0,0.9282075034738305,0.2208429828624363
PCA11,convnext_tiny,gaussian_blur,2,blur_2,knn5,0.7175544233441408,0.0,0.9271885132005557,0.20963408985641496
PCA11,convnext_tiny,gaussian_blur,2,blur_2,knn10,0.7267253358036128,0.0,0.9199629458082444,0.1932376100046317
PCA11,convnext_tiny,gaussian_blur,2,blur_2,nearest_centroid,0.6355720240852246,0.0,0.8182491894395554,0.18267716535433076
PCA11,convnext_tiny,gaussian_blur,4,blur_4,knn1,0.45511811023622045,0.0,0.928578045391385,0.47345993515516455
PCA11,convnext_tiny,gaussian_blur,4,blur_4,knn3,0.5108846688281612,0.0,0.9282075034738305,0.4173228346456693
PCA11,convnext_tiny,gaussian_blur,4,blur_4,knn5,0.5530338119499768,0.0,0.9271885132005557,0.3741547012505789
PCA11,convnext_tiny,gaussian_blur,4,blur_4,knn10,0.5738767948124132,0.0,0.9199629458082444,0.3460861509958313
PCA11,convnext_tiny,gaussian_blur,4,blur_4,nearest_centroid,0.5009726725335804,0.0,0.8182491894395554,0.317276516905975
PCA11,convnext_tiny,gaussian_blur,6,blur_6,knn1,0.35460861509958314,0.0,0.928578045391385,0.5739694302918019
PCA11,convnext_tiny,gaussian_blur,6,blur_6,knn3,0.35692450208429827,0.0,0.9282075034738305,0.5712830013895323
PCA11,convnext_tiny,gaussian_blur,6,blur_6,knn5,0.40574339972209356,0.0,0.9271885132005557,0.5214451134784621
PCA11,convnext_tiny,gaussian_blur,6,blur_6,knn10,0.4296433534043539,0.0,0.9199629458082444,0.49031959240389056
PCA11,convnext_tiny,gaussian_blur,6,blur_6,nearest_centroid,0.3899953682260306,0.0,0.8182491894395554,0.4282538212135248
PCA11,convnext_tiny,gaussian_blur,8,blur_8,knn1,0.32450208429828625,0.0,0.928578045391385,0.6040759610930988
PCA11,convnext_tiny,gaussian_blur,8,blur_8,knn3,0.2962482630847615,0.0,0.9282075034738305,0.631959240389069
PCA11,convnext_tiny,gaussian_blur,8,blur_8,knn5,0.32153774895785087,0.0,0.9271885132005557,0.6056507642427049
PCA11,convnext_tiny,gaussian_blur,8,blur_8,knn10,0.32403890690134324,0.0,0.9199629458082444,0.5959240389069012
PCA11,convnext_tiny,gaussian_blur,8,blur_8,nearest_centroid,0.2918017600741084,0.0,0.8182491894395554,0.526447429365447
PCA11,convnext_tiny,gaussian_blur,10,blur_10,knn1,0.3064381658175081,0.0,0.928578045391385,0.6221398795738768
PCA11,convnext_tiny,gaussian_blur,10,blur_10,knn3,0.26076887447892544,0.0,0.9282075034738305,0.667438628994905
PCA11,convnext_tiny,gaussian_blur,10,blur_10,knn5,0.27957387679481244,0.0,0.9271885132005557,0.6476146364057433
PCA11,convnext_tiny,gaussian_blur,10,blur_10,knn10,0.2513200555812876,0.0,0.9199629458082444,0.6686428902269568
PCA11,convnext_tiny,gaussian_blur,10,blur_10,nearest_centroid,0.20991199629458082,0.0,0.8182491894395554,0.6083371931449746
PCA11,convnext_tiny,gaussian_blur,12,blur_12,knn1,0.28161185734136174,0.0,0.928578045391385,0.6469661880500233
PCA11,convnext_tiny,gaussian_blur,12,blur_12,knn3,0.22630847614636407,0.0,0.9282075034738305,0.7018990273274665
PCA11,convnext_tiny,gaussian_blur,12,blur_12,knn5,0.23094025011579436,0.0,0.9271885132005557,0.6962482630847614
PCA11,convnext_tiny,gaussian_blur,12,blur_12,knn10,0.1984251968503937,0.0,0.9199629458082444,0.7215377489578507
PCA11,convnext_tiny,gaussian_blur,12,blur_12,nearest_centroid,0.15294117647058825,0.0,0.8182491894395554,0.6653080129689671
PCA11,convnext_tiny,defocus_blur,3,defocus_3,knn1,0.7416396479851783,0.0,0.928578045391385,0.18693839740620666
PCA11,convnext_tiny,defocus_blur,3,defocus_3,knn3,0.7430291801760074,0.0,0.9282075034738305,0.18517832329782313
PCA11,convnext_tiny,defocus_blur,3,defocus_3,knn5,0.7446039833256137,0.0,0.9271885132005557,0.182584529874942
PCA11,convnext_tiny,defocus_blur,3,defocus_3,knn10,0.7543307086614173,0.0,0.9199629458082444,0.16563223714682718
PCA11,convnext_tiny,defocus_blur,3,defocus_3,nearest_centroid,0.6574339972209357,0.0,0.8182491894395554,0.16081519221861973
PCA11,convnext_tiny,defocus_blur,5,defocus_5,knn1,0.5889763779527559,0.0,0.928578045391385,0.3396016674386291
PCA11,convnext_tiny,defocus_blur,5,defocus_5,knn3,0.6142658638258452,0.0,0.9282075034738305,0.31394163964798527
PCA11,convnext_tiny,defocus_blur,5,defocus_5,knn5,0.6281611857341362,0.0,0.9271885132005557,0.2990273274664196
PCA11,convnext_tiny,defocus_blur,5,defocus_5,knn10,0.6382584529874942,0.0,0.9199629458082444,0.2817044928207503
PCA11,convnext_tiny,defocus_blur,5,defocus_5,nearest_centroid,0.5653543307086614,0.0,0.8182491894395554,0.252894858730894
PCA11,convnext_tiny,defocus_blur,8,defocus_8,knn1,0.4503937007874016,0.0,0.928578045391385,0.4781843446039834
PCA11,convnext_tiny,defocus_blur,8,defocus_8,knn3,0.4861509958314034,0.0,0.9282075034738305,0.4420565076424271
PCA11,convnext_tiny,defocus_blur,8,defocus_8,knn5,0.5086614173228347,0.0,0.9271885132005557,0.4185270958777211
PCA11,convnext_tiny,defocus_blur,8,defocus_8,knn10,0.5210745715609079,0.0,0.9199629458082444,0.3988883742473366
PCA11,convnext_tiny,defocus_blur,8,defocus_8,nearest_centroid,0.4505789717461788,0.0,0.8182491894395554,0.3676702176933766
PCA11,convnext_tiny,defocus_blur,11,defocus_11,knn1,0.35257063455303383,0.0,0.928578045391385,0.5760074108383512
PCA11,convnext_tiny,defocus_blur,11,defocus_11,knn3,0.37572950440018527,0.0,0.9282075034738305,0.5524779990736453
