dataset,backbone,perturbation,severity,tag,rule,accuracy,accuracy_std,acc_clean,drop
PCA11,dinov2_b,clean,0,original,knn1,0.9096804075961092,0.0050991603314582195,0.9096804075961092,0.0
PCA11,dinov2_b,clean,0,original,knn3,0.9101435849930525,0.006109729485073146,0.9101435849930525,0.0
PCA11,dinov2_b,clean,0,original,knn5,0.9126447429365447,0.005053517997956774,0.9126447429365447,0.0
PCA11,dinov2_b,clean,0,original,knn10,0.9091245947197777,0.003616344844083931,0.9091245947197777,0.0
PCA11,dinov2_b,clean,0,original,nearest_centroid,0.8118573413617416,0.006903674250629609,0.8118573413617416,0.0
PCA11,dinov2_b,gaussian_blur,2,blur_2,knn1,0.9509031959240389,0.0,0.9096804075961092,-0.041222788327929694
PCA11,dinov2_b,gaussian_blur,2,blur_2,knn3,0.8946734599351551,0.0,0.9101435849930525,0.015470125057897355
PCA11,dinov2_b,gaussian_blur,2,blur_2,knn5,0.8758684576192681,0.0,0.9126447429365447,0.036776285317276614
PCA11,dinov2_b,gaussian_blur,2,blur_2,knn10,0.8564150069476609,0.0,0.9091245947197777,0.05270958777211676
PCA11,dinov2_b,gaussian_blur,2,blur_2,nearest_centroid,0.7433997220935619,0.0,0.8118573413617416,0.06845761926817973
PCA11,dinov2_b,gaussian_blur,4,blur_4,knn1,0.5500694766095414,0.0,0.9096804075961092,0.3596109309865678
PCA11,dinov2_b,gaussian_blur,4,blur_4,knn3,0.5481241315423807,0.0,0.9101435849930525,0.36201945345067177
PCA11,dinov2_b,gaussian_blur,4,blur_4,knn5,0.5530338119499768,0.0,0.9126447429365447,0.35961093098656793
PCA11,dinov2_b,gaussian_blur,4,blur_4,knn10,0.5534969893469198,0.0,0.9091245947197777,0.35562760537285787
PCA11,dinov2_b,gaussian_blur,4,blur_4,nearest_centroid,0.39323761000463175,0.0,0.8118573413617416,0.41861973135710984
PCA11,dinov2_b,gaussian_blur,6,blur_6,knn1,0.38656785548865213,0.0,0.9096804075961092,0.5231125521074571
PCA11,dinov2_b,gaussian_blur,6,blur_6,knn3,0.4059286706808708,0.0,0.9101435849930525,0.5042149143121817
PCA11,dinov2_b,gaussian_blur,6,blur_6,knn5,0.41398795738767946,0.0,0.9126447429365447,0.4986567855488653
PCA11,dinov2_b,gaussian_blur,6,blur_6,knn10,0.41982399258916164,0.0,0.9091245947197777,0.48930060213061605
PCA11,dinov2_b,gaussian_blur,6,blur_6,nearest_centroid,0.2601204261232052,0.0,0.8118573413617416,0.5517369152385364
PCA11,dinov2_b,gaussian_blur,8,blur_8,knn1,0.2779990736452061,0.0,0.9096804075961092,0.6316813339509031
PCA11,dinov2_b,gaussian_blur,8,blur_8,knn3,0.29800833719314496,0.0,0.9101435849930525,0.6121352477999076
PCA11,dinov2_b,gaussian_blur,8,blur_8,knn5,0.32125984251968503,0.0,0.9126447429365447,0.5913849004168596
PCA11,dinov2_b,gaussian_blur,8,blur_8,knn10,0.31773969430291804,0.0,0.9091245947197777,0.5913849004168596
PCA11,dinov2_b,gaussian_blur,8,blur_8,nearest_centroid,0.1888837424733673,0.0,0.8118573413617416,0.6229735988883742
PCA11,dinov2_b,gaussian_blur,10,blur_10,knn1,0.20092635479388607,0.0,0.9096804075961092,0.7087540528022231
PCA11,dinov2_b,gaussian_blur,10,blur_10,knn3,0.21852709587772118,0.0,0.9101435849930525,0.6916164891153314
PCA11,dinov2_b,gaussian_blur,10,blur_10,knn5,0.23816581750810562,0.0,0.9126447429365447,0.6744789254284391
PCA11,dinov2_b,gaussian_blur,10,blur_10,knn10,0.22445576655859195,0.0,0.9091245947197777,0.6846688281611857
PCA11,dinov2_b,gaussian_blur,10,blur_10,nearest_centroid,0.14099119962945808,0.0,0.8118573413617416,0.6708661417322835
PCA11,dinov2_b,gaussian_blur,12,blur_12,knn1,0.17239462714219547,0.0,0.9096804075961092,0.7372857804539138
PCA11,dinov2_b,gaussian_blur,12,blur_12,knn3,0.17665585919407134,0.0,0.9101435849930525,0.7334877257989811
PCA11,dinov2_b,gaussian_blur,12,blur_12,knn5,0.20074108383510886,0.0,0.9126447429365447,0.7119036591014358
PCA11,dinov2_b,gaussian_blur,12,blur_12,knn10,0.18452987494210282,0.0,0.9091245947197777,0.7245947197776749
PCA11,dinov2_b,gaussian_blur,12,blur_12,nearest_centroid,0.10606762389995368,0.0,0.8118573413617416,0.7057897174617879
PCA11,dinov2_b,defocus_blur,3,defocus_3,knn1,0.8828161185734136,0.0,0.9096804075961092,0.026864289022695664
PCA11,dinov2_b,defocus_blur,3,defocus_3,knn3,0.8427975914775359,0.0,0.9101435849930525,0.06734599351551662
PCA11,dinov2_b,defocus_blur,3,defocus_3,knn5,0.8283464566929134,0.0,0.9126447429365447,0.08429828624363134
PCA11,dinov2_b,defocus_blur,3,defocus_3,knn10,0.8107457156090783,0.0,0.9091245947197777,0.09837887911069942
PCA11,dinov2_b,defocus_blur,3,defocus_3,nearest_centroid,0.6875405280222325,0.0,0.8118573413617416,0.12431681333950906
PCA11,dinov2_b,defocus_blur,5,defocus_5,knn1,0.6318666049096804,0.0,0.9096804075961092,0.27781380268642886
PCA11,dinov2_b,defocus_blur,5,defocus_5,knn3,0.6152848540991199,0.0,0.9101435849930525,0.29485873089393255
PCA11,dinov2_b,defocus_blur,5,defocus_5,knn5,0.6132468735525707,0.0,0.9126447429365447,0.29939786938397406
PCA11,dinov2_b,defocus_blur,5,defocus_5,knn10,0.5987031032885595,0.0,0.9091245947197777,0.3104214914312182
PCA11,dinov2_b,defocus_blur,5,defocus_5,nearest_centroid,0.4610467809170912,0.0,0.8118573413617416,0.35081056044465037
PCA11,dinov2_b,defocus_blur,8,defocus_8,knn1,0.42806855025474755,0.0,0.9096804075961092,0.4816118573413617
PCA11,dinov2_b,defocus_blur,8,defocus_8,knn3,0.4470588235294118,0.0,0.9101435849930525,0.4630847614636407
PCA11,dinov2_b,defocus_blur,8,defocus_8,knn5,0.45446966188050025,0.0,0.9126447429365447,0.4581750810560445
PCA11,dinov2_b,defocus_blur,8,defocus_8,knn10,0.4396479851783233,0.0,0.9091245947197777,0.46947660954145437
