dataset,backbone,perturbation,severity,tag,rule,accuracy,accuracy_std,acc_clean,drop
PCA11,mobilenetv3,clean,0,original,knn1,0.9110699397869384,0.0039844026248460306,0.9110699397869384,0.0
PCA11,mobilenetv3,clean,0,original,knn3,0.9159796201945344,0.005374454730656908,0.9159796201945344,0.0
PCA11,mobilenetv3,clean,0,original,knn5,0.9178323297823067,0.008084270210012566,0.9178323297823067,0.0
PCA11,mobilenetv3,clean,0,original,knn10,0.9136637332098193,0.008563647799106674,0.9136637332098193,0.0
PCA11,mobilenetv3,clean,0,original,nearest_centroid,0.8102825382121353,0.005593526313830666,0.8102825382121353,0.0
PCA11,mobilenetv3,gaussian_blur,2,blur_2,knn1,0.7927744326076888,0.0,0.9110699397869384,0.11829550717924964
PCA11,mobilenetv3,gaussian_blur,2,blur_2,knn3,0.776285317276517,0.0,0.9159796201945344,0.13969430291801743
PCA11,mobilenetv3,gaussian_blur,2,blur_2,knn5,0.7740620657711904,0.0,0.9178323297823067,0.14377026401111626
PCA11,mobilenetv3,gaussian_blur,2,blur_2,knn10,0.7655396016674386,0.0,0.9136637332098193,0.1481241315423807
PCA11,mobilenetv3,gaussian_blur,2,blur_2,nearest_centroid,0.6241778601204261,0.0,0.8102825382121353,0.18610467809170916
PCA11,mobilenetv3,gaussian_blur,4,blur_4,knn1,0.5381194997684113,0.0,0.9110699397869384,0.37295044001852706
PCA11,mobilenetv3,gaussian_blur,4,blur_4,knn3,0.547568318666049,0.0,0.9159796201945344,0.36841130152848534
PCA11,mobilenetv3,gaussian_blur,4,blur_4,knn5,0.5647058823529412,0.0,0.9178323297823067,0.3531264474293655
PCA11,mobilenetv3,gaussian_blur,4,blur_4,knn10,0.5778601204261232,0.0,0.9136637332098193,0.3358036127836961
PCA11,mobilenetv3,gaussian_blur,4,blur_4,nearest_centroid,0.494488188976378,0.0,0.8102825382121353,0.3157943492357573
PCA11,mobilenetv3,gaussian_blur,6,blur_6,knn1,0.3937934228809634,0.0,0.9110699397869384,0.517276516905975
PCA11,mobilenetv3,gaussian_blur,6,blur_6,knn3,0.4012968967114405,0.0,0.9159796201945344,0.514682723483094
PCA11,mobilenetv3,gaussian_blur,6,blur_6,knn5,0.4194534506716072,0.0,0.9178323297823067,0.49837887911069945
PCA11,mobilenetv3,gaussian_blur,6,blur_6,knn10,0.43047707271885133,0.0,0.9136637332098193,0.483186660490968
PCA11,mobilenetv3,gaussian_blur,6,blur_6,nearest_centroid,0.41056044465030106,0.0,0.8102825382121353,0.3997220935618342
PCA11,mobilenetv3,gaussian_blur,8,blur_8,knn1,0.2823529411764706,0.0,0.9110699397869384,0.6287169986104678
PCA11,mobilenetv3,gaussian_blur,8,blur_8,knn3,0.30097267253358034,0.0,0.9159796201945344,0.6150069476609541
PCA11,mobilenetv3,gaussian_blur,8,blur_8,knn5,0.32459471977767484,0.0,0.9178323297823067,0.5932376100046318
PCA11,mobilenetv3,gaussian_blur,8,blur_8,knn10,0.343121815655396,0.0,0.9136637332098193,0.5705419175544233
PCA11,mobilenetv3,gaussian_blur,8,blur_8,nearest_centroid,0.3471051412691061,0.0,0.8102825382121353,0.4631773969430292
PCA11,mobilenetv3,gaussian_blur,10,blur_10,knn1,0.19370078740157481,0.0,0.9110699397869384,0.7173691523853636
PCA11,mobilenetv3,gaussian_blur,10,blur_10,knn3,0.21973135710977304,0.0,0.9159796201945344,0.6962482630847613
PCA11,mobilenetv3,gaussian_blur,10,blur_10,knn5,0.2536359425660028,0.0,0.9178323297823067,0.6641963872163039
PCA11,mobilenetv3,gaussian_blur,10,blur_10,knn10,0.27281148679944417,0.0,0.9136637332098193,0.6408522464103752
PCA11,mobilenetv3,gaussian_blur,10,blur_10,nearest_centroid,0.23279295970356648,0.0,0.8102825382121353,0.5774895785085687
PCA11,mobilenetv3,gaussian_blur,12,blur_12,knn1,0.13700787401574804,0.0,0.9110699397869384,0.7740620657711903
PCA11,mobilenetv3,gaussian_blur,12,blur_12,knn3,0.18443723946271423,0.0,0.9159796201945344,0.7315423807318202
PCA11,mobilenetv3,gaussian_blur,12,blur_12,knn5,0.20166743862899492,0.0,0.9178323297823067,0.7161648911533117
PCA11,mobilenetv3,gaussian_blur,12,blur_12,knn10,0.2031496062992126,0.0,0.9136637332098193,0.7105141269106067
PCA11,mobilenetv3,gaussian_blur,12,blur_12,nearest_centroid,0.10754979157017137,0.0,0.8102825382121353,0.7027327466419638
PCA11,mobilenetv3,defocus_blur,3,defocus_3,knn1,0.8551181102362204,0.0,0.9110699397869384,0.05595182955071798
PCA11,mobilenetv3,defocus_blur,3,defocus_3,knn3,0.8364057433997221,0.0,0.9159796201945344,0.07957387679481231
PCA11,mobilenetv3,defocus_blur,3,defocus_3,knn5,0.8346456692913385,0.0,0.9178323297823067,0.08318666049096812
PCA11,mobilenetv3,defocus_blur,3,defocus_3,knn10,0.8184344603983326,0.0,0.9136637332098193,0.09522927281148674
PCA11,mobilenetv3,defocus_blur,3,defocus_3,nearest_centroid,0.6682723483094025,0.0,0.8102825382121353,0.14201018990273273
PCA11,mobilenetv3,defocus_blur,5,defocus_5,knn1,0.6800370541917554,0.0,0.9110699397869384,0.23103288559518298
PCA11,mobilenetv3,defocus_blur,5,defocus_5,knn3,0.6767021769337657,0.0,0.9159796201945344,0.23927744326076872
PCA11,mobilenetv3,defocus_blur,5,defocus_5,knn5,0.687169986104678,0.0,0.9178323297823067,0.2306623436776286
PCA11,mobilenetv3,defocus_blur,5,defocus_5,knn10,0.6917091245947198,0.0,0.9136637332098193,0.22195460861509952
PCA11,mobilenetv3,defocus_blur,5,defocus_5,nearest_centroid,0.5524779990736453,0.0,0.8102825382121353,0.25780453913849
PCA11,mobilenetv3,defocus_blur,8,defocus_8,knn1,0.5307086614173229,0.0,0.9110699397869384,0.38036127836961553
PCA11,mobilenetv3,defocus_blur,8,defocus_8,knn3,0.5362667901806392,0.0,0.9159796201945344,0.3797128300138952
PCA11,mobilenetv3,defocus_blur,8,defocus_8,knn5,0.5535896248263085,0.0,0.9178323297823067,0.3642427049559982
PCA11,mobilenetv3,defocus_blur,8,defocus_8,knn10,0.5596109309865679,0.0,0.9136637332098193,0.3540528022232514
PCA11,mobilenetv3,defocus_blur,8,defocus_8,nearest_centroid,0.4591940713293191,0.0,0.8102825382121353,0.35108846688281614
PCA11,mobilenetv3,defocus_blur,11,defocus_11,knn1,0.41648911533117183,0.0,0.9110699397869384,0.49458082445576657
PCA11,mobilenetv3,defocus_blur,11,defocus_11,knn3,0.42890226956924504,0.0,0.9159796201945344,0.48707735062528934
PCA11,mobilenetv3,defocus_blur,11,defocus_11,knn5,0.44983788791106993,0.0,0.9178323297823067,0.46799444187123673
PCA11,mobilenetv3,defocus_blur,11,defocus_11,knn10,0.46123205187586847,0.0,0.9136637332098193,0.45243168133395084
PCA11,mobilenetv3,defocus_blur,11,defocus_11,nearest_centroid,0.4221398795738768,0.0,0.8102825382121353,0.3881426586382585
PCA11,mobilenetv3,defocus_blur,15,defocus_15,knn1,0.25937934228809634,0.0,0.9110699397869384,0.6516905974988421
PCA11,mobilenetv3,defocus_blur,15,defocus_15,knn3,0.27809170912459474,0.0,0.9159796201945344,0.6378879110699396
PCA11,mobilenetv3,defocus_blur,15,defocus_15,knn5,0.3232978230662344,0.0,0.9178323297823067,0.5945345067160723
PCA11,mobilenetv3,defocus_blur,15,defocus_15,knn10,0.352755905511811,0.0,0.9136637332098193,0.5609078276980083
PCA11,mobilenetv3,defocus_blur,15,defocus_15,nearest_centroid,0.31968503937007875,0.0,0.8102825382121353,0.4905974988420565
PCA11,mobilenetv3,resize,1.33,resize_1_33,knn1,0.9808244557665586,0.0,0.9110699397869384,-0.06975451597962024
PCA11,mobilenetv3,resize,1.33,resize_1_33,knn3,0.9371005094951367,0.0,0.9159796201945344,-0.021120889300602297
PCA11,mobilenetv3,resize,1.33,resize_1_33,knn5,0.9219082908754053,0.0,0.9178323297823067,-0.004075961093098601
PCA11,mobilenetv3,resize,1.33,resize_1_33,knn10,0.9038443723946271,0.0,0.9136637332098193,0.00981936081519219
PCA11,mobilenetv3,resize,1.33,resize_1_33,nearest_centroid,0.7803612783696156,0.0,0.8102825382121353,0.0299212598425197
PCA11,mobilenetv3,resize,1.67,resize_1_67,knn1,0.8288096340898564,0.0,0.9110699397869384,0.08226030569708198
PCA11,mobilenetv3,resize,1.67,resize_1_67,knn3,0.8016674386289949,0.0,0.9159796201945344,0.11431218156553946
PCA11,mobilenetv3,resize,1.67,resize_1_67,knn5,0.788235294117647,0.0,0.9178323297823067,0.12959703566465963
PCA11,mobilenetv3,resize,1.67,resize_1_67,knn10,0.7761926817971283,0.0,0.9136637332098193,0.137471051412691
PCA11,mobilenetv3,resize,1.67,resize_1_67,nearest_centroid,0.675220009263548,0.0,0.8102825382121353,0.13506252894858728
PCA11,mobilenetv3,resize,2.0,resize_2_0,knn1,0.617878647522001,0.0,0.9110699397869384,0.29319129226493745
PCA11,mobilenetv3,resize,2.0,resize_2_0,knn3,0.6113941639647985,0.0,0.9159796201945344,0.3045854562297359
PCA11,mobilenetv3,resize,2.0,resize_2_0,knn5,0.6123205187586845,0.0,0.9178323297823067,0.3055118110236221
PCA11,mobilenetv3,resize,2.0,resize_2_0,knn10,0.6143584993052339,0.0,0.9136637332098193,0.2993052339045854
PCA11,mobilenetv3,resize,2.0,resize_2_0,nearest_centroid,0.5521074571560908,0.0,0.8102825382121353,0.2581750810560445
PCA11,mobilenetv3,illumination,0.7,brightness_0_7,knn1,0.9942566002779064,0.0,0.9110699397869384,-0.08318666049096801
PCA11,mobilenetv3,illumination,0.7,brightness_0_7,knn3,0.9580361278369616,0.0,0.9159796201945344,-0.04205650764242719
PCA11,mobilenetv3,illumination,0.7,brightness_0_7,knn5,0.9473830477072719,0.0,0.9178323297823067,-0.02955071792496522
PCA11,mobilenetv3,illumination,0.7,brightness_0_7,knn10,0.9308939323761001,0.0,0.9136637332098193,-0.01723019916628077
PCA11,mobilenetv3,illumination,0.7,brightness_0_7,nearest_centroid,0.8029643353404354,0.0,0.8102825382121353,0.007318202871699819
PCA11,mobilenetv3,illumination,0.85,brightness_0_85,knn1,0.999536822603057,0.0,0.9110699397869384,-0.08846688281611859
PCA11,mobilenetv3,illumination,0.85,brightness_0_85,knn3,0.9650764242704956,0.0,0.9159796201945344,-0.049096804075961176
PCA11,mobilenetv3,illumination,0.85,brightness_0_85,knn5,0.9534969893469198,0.0,0.9178323297823067,-0.03566465956461318
PCA11,mobilenetv3,illumination,0.85,brightness_0_85,knn10,0.9377489578508569,0.0,0.9136637332098193,-0.024085224641037573
PCA11,mobilenetv3,illumination,0.85,brightness_0_85,nearest_centroid,0.8130616025937935,0.0,0.8102825382121353,-0.002779064381658203
PCA11,mobilenetv3,illumination,1.15,brightness_1_15,knn1,0.9997220935618342,0.0,0.9110699397869384,-0.08865215377489577
PCA11,mobilenetv3,illumination,1.15,brightness_1_15,knn3,0.9632237146827235,0.0,0.9159796201945344,-0.047244094488189115
PCA11,mobilenetv3,illumination,1.15,brightness_1_15,knn5,0.9517369152385363,0.0,0.9178323297823067,-0.03390458545622965
PCA11,mobilenetv3,illumination,1.15,brightness_1_15,knn10,0.9333950903195924,0.0,0.9136637332098193,-0.01973135710977314
PCA11,mobilenetv3,illumination,1.15,brightness_1_15,nearest_centroid,0.8138953219082908,0.0,0.8102825382121353,-0.003612783696155586
PCA11,mobilenetv3,illumination,1.3,brightness_1_3,knn1,0.9967577582213988,0.0,0.9110699397869384,-0.08568781843446038
