dataset,backbone,perturbation,severity,tag,rule,accuracy,accuracy_std,acc_clean,drop
PCA11,resnet50,clean,0,original,knn1,0.9047707271885133,0.003642353543554858,0.9047707271885133,0.0
PCA11,resnet50,clean,0,original,knn3,0.906716072255674,0.005120991185209909,0.906716072255674,0.0
PCA11,resnet50,clean,0,original,knn5,0.9106067623899954,0.007294124941187391,0.9106067623899954,0.0
PCA11,resnet50,clean,0,original,knn10,0.9052339045854563,0.006747780954691734,0.9052339045854563,0.0
PCA11,resnet50,clean,0,original,nearest_centroid,0.8023158869847151,0.00854257851479277,0.8023158869847151,0.0
PCA11,resnet50,gaussian_blur,2,blur_2,knn1,0.7220935618341825,0.0,0.9047707271885133,0.18267716535433076
PCA11,resnet50,gaussian_blur,2,blur_2,knn3,0.7255210745715609,0.0,0.906716072255674,0.18119499768411307
PCA11,resnet50,gaussian_blur,2,blur_2,knn5,0.7307086614173228,0.0,0.9106067623899954,0.17989810097267256
PCA11,resnet50,gaussian_blur,2,blur_2,knn10,0.7383047707271885,0.0,0.9052339045854563,0.1669291338582678
PCA11,resnet50,gaussian_blur,2,blur_2,nearest_centroid,0.6547475683186661,0.0,0.8023158869847151,0.14756831866604903
PCA11,resnet50,gaussian_blur,4,blur_4,knn1,0.4266790180639185,0.0,0.9047707271885133,0.47809170912459475
PCA11,resnet50,gaussian_blur,4,blur_4,knn3,0.44196387216303845,0.0,0.906716072255674,0.4647522000926355
PCA11,resnet50,gaussian_blur,4,blur_4,knn5,0.4566929133858268,0.0,0.9106067623899954,0.4539138490041686
PCA11,resnet50,gaussian_blur,4,blur_4,knn10,0.4664196387216304,0.0,0.9052339045854563,0.4388142658638259
PCA11,resnet50,gaussian_blur,4,blur_4,nearest_centroid,0.41065308012968965,0.0,0.8023158869847151,0.39166280685502547
PCA11,resnet50,gaussian_blur,6,blur_6,knn1,0.2992125984251969,0.0,0.9047707271885133,0.6055581287633164
PCA11,resnet50,gaussian_blur,6,blur_6,knn3,0.31394163964798516,0.0,0.906716072255674,0.5927744326076888
PCA11,resnet50,gaussian_blur,6,blur_6,knn5,0.3194071329319129,0.0,0.9106067623899954,0.5911996294580825
PCA11,resnet50,gaussian_blur,6,blur_6,knn10,0.3191292264937471,0.0,0.9052339045854563,0.5861046780917092
PCA11,resnet50,gaussian_blur,6,blur_6,nearest_centroid,0.26558591940713294,0.0,0.8023158869847151,0.5367299675775822
PCA11,resnet50,gaussian_blur,8,blur_8,knn1,0.23121815655396016,0.0,0.9047707271885133,0.6735525706345531
PCA11,resnet50,gaussian_blur,8,blur_8,knn3,0.23603520148216767,0.0,0.906716072255674,0.6706808707735064
PCA11,resnet50,gaussian_blur,8,blur_8,knn5,0.23520148216767023,0.0,0.9106067623899954,0.6754052802223252
PCA11,resnet50,gaussian_blur,8,blur_8,knn10,0.22760537285780455,0.0,0.9052339045854563,0.6776285317276517
PCA11,resnet50,gaussian_blur,8,blur_8,nearest_centroid,0.19870310328855953,0.0,0.8023158869847151,0.6036127836961556
PCA11,resnet50,gaussian_blur,10,blur_10,knn1,0.18638258452987494,0.0,0.9047707271885133,0.7183881426586383
PCA11,resnet50,gaussian_blur,10,blur_10,knn3,0.18286243631310792,0.0,0.906716072255674,0.723853635942566
PCA11,resnet50,gaussian_blur,10,blur_10,knn5,0.1906438165817508,0.0,0.9106067623899954,0.7199629458082446
PCA11,resnet50,gaussian_blur,10,blur_10,knn10,0.1853635942566003,0.0,0.9052339045854563,0.719870310328856
PCA11,resnet50,gaussian_blur,10,blur_10,nearest_centroid,0.16220472440944883,0.0,0.8023158869847151,0.6401111625752662
PCA11,resnet50,gaussian_blur,12,blur_12,knn1,0.145715609078277,0.0,0.9047707271885133,0.7590551181102363
PCA11,resnet50,gaussian_blur,12,blur_12,knn3,0.15173691523853636,0.0,0.906716072255674,0.7549791570171376
PCA11,resnet50,gaussian_blur,12,blur_12,knn5,0.16220472440944883,0.0,0.9106067623899954,0.7484020379805465
PCA11,resnet50,gaussian_blur,12,blur_12,knn10,0.15840666975451598,0.0,0.9052339045854563,0.7468272348309403
PCA11,resnet50,gaussian_blur,12,blur_12,nearest_centroid,0.13376563223714683,0.0,0.8023158869847151,0.6685502547475684
PCA11,resnet50,defocus_blur,3,defocus_3,knn1,0.7848077813802686,0.0,0.9047707271885133,0.11996294580824463
PCA11,resnet50,defocus_blur,3,defocus_3,knn3,0.7770264011116258,0.0,0.906716072255674,0.12968967114404817
PCA11,resnet50,defocus_blur,3,defocus_3,knn5,0.7883279295970357,0.0,0.9106067623899954,0.1222788327929597
PCA11,resnet50,defocus_blur,3,defocus_3,knn10,0.7899953682260306,0.0,0.9052339045854563,0.11523853635942571
PCA11,resnet50,defocus_blur,3,defocus_3,nearest_centroid,0.7008800370541918,0.0,0.8023158869847151,0.10143584993052335
PCA11,resnet50,defocus_blur,5,defocus_5,knn1,0.5779527559055118,0.0,0.9047707271885133,0.3268179712830015
PCA11,resnet50,defocus_blur,5,defocus_5,knn3,0.5907364520611394,0.0,0.906716072255674,0.3159796201945345
PCA11,resnet50,defocus_blur,5,defocus_5,knn5,0.6104678091709125,0.0,0.9106067623899954,0.3001389532190829
PCA11,resnet50,defocus_blur,5,defocus_5,knn10,0.6204724409448819,0.0,0.9052339045854563,0.2847614636405744
PCA11,resnet50,defocus_blur,5,defocus_5,nearest_centroid,0.5267253358036128,0.0,0.8023158869847151,0.2755905511811023
PCA11,resnet50,defocus_blur,8,defocus_8,knn1,0.40074108383510887,0.0,0.9047707271885133,0.5040296433534044
PCA11,resnet50,defocus_blur,8,defocus_8,knn3,0.4205650764242705,0.0,0.906716072255674,0.4861509958314035
PCA11,resnet50,defocus_blur,8,defocus_8,knn5,0.4377952755905512,0.0,0.9106067623899954,0.4728114867994442
PCA11,resnet50,defocus_blur,8,defocus_8,knn10,0.44492820750347384,0.0,0.9052339045854563,0.46030569708198243
PCA11,resnet50,defocus_blur,8,defocus_8,nearest_centroid,0.3584993052339046,0.0,0.8023158869847151,0.4438165817508105
PCA11,resnet50,defocus_blur,11,defocus_11,knn1,0.25928670680870775,0.0,0.9047707271885133,0.6454840203798056
PCA11,resnet50,defocus_blur,11,defocus_11,knn3,0.2662343677628532,0.0,0.906716072255674,0.6404817044928208
PCA11,resnet50,defocus_blur,11,defocus_11,knn5,0.2776285317276517,0.0,0.9106067623899954,0.6329782306623437
PCA11,resnet50,defocus_blur,11,defocus_11,knn10,0.2797591477535896,0.0,0.9052339045854563,0.6254747568318666
PCA11,resnet50,defocus_blur,11,defocus_11,nearest_centroid,0.20213061602593793,0.0,0.8023158869847151,0.6001852709587772
PCA11,resnet50,defocus_blur,15,defocus_15,knn1,0.1951829550717925,0.0,0.9047707271885133,0.7095877721167207
PCA11,resnet50,defocus_blur,15,defocus_15,knn3,0.19870310328855953,0.0,0.906716072255674,0.7080129689671144
PCA11,resnet50,defocus_blur,15,defocus_15,knn5,0.20064844835572024,0.0,0.9106067623899954,0.7099583140342751
PCA11,resnet50,defocus_blur,15,defocus_15,knn10,0.19879573876794812,0.0,0.9052339045854563,0.7064381658175082
PCA11,resnet50,defocus_blur,15,defocus_15,nearest_centroid,0.1377489578508569,0.0,0.8023158869847151,0.6645669291338583
PCA11,resnet50,resize,1.33,resize_1_33,knn1,0.9671144048170449,0.0,0.9047707271885133,-0.06234367762853166
PCA11,resnet50,resize,1.33,resize_1_33,knn3,0.918666049096804,0.0,0.906716072255674,-0.011949976841130083
PCA11,resnet50,resize,1.33,resize_1_33,knn5,0.9035664659564613,0.0,0.9106067623899954,0.007040296433534099
PCA11,resnet50,resize,1.33,resize_1_33,knn10,0.8920796665122742,0.0,0.9052339045854563,0.013154238073182056
PCA11,resnet50,resize,1.33,resize_1_33,nearest_centroid,0.7642427049559981,0.0,0.8023158869847151,0.03807318202871701
PCA11,resnet50,resize,1.67,resize_1_67,knn1,0.7913849004168596,0.0,0.9047707271885133,0.11338582677165365
