dataset,backbone,perturbation,severity,tag,rule,accuracy,accuracy_std,acc_clean,drop
PCA11,swin_tiny,clean,0,original,knn1,0.9332098193608152,0.0065201164816184294,0.9332098193608152,0.0
PCA11,swin_tiny,clean,0,original,knn3,0.9322834645669291,0.005340819010801125,0.9322834645669291,0.0
PCA11,swin_tiny,clean,0,original,knn5,0.9294117647058823,0.005469417107596291,0.9294117647058823,0.0
PCA11,swin_tiny,clean,0,original,knn10,0.9281148679944419,0.0033323030567123367,0.9281148679944419,0.0
PCA11,swin_tiny,clean,0,original,nearest_centroid,0.8483557202408523,0.006766829964891024,0.8483557202408523,0.0
PCA11,swin_tiny,gaussian_blur,2,blur_2,knn1,0.7708198239925892,0.0,0.9332098193608152,0.16238999536822596
PCA11,swin_tiny,gaussian_blur,2,blur_2,knn3,0.7617415470125057,0.0,0.9322834645669291,0.17054191755442338
PCA11,swin_tiny,gaussian_blur,2,blur_2,knn5,0.7637795275590551,0.0,0.9294117647058823,0.16563223714682718
PCA11,swin_tiny,gaussian_blur,2,blur_2,knn10,0.7622047244094489,0.0,0.9281148679944419,0.165910143584993
PCA11,swin_tiny,gaussian_blur,2,blur_2,nearest_centroid,0.6872626215840667,0.0,0.8483557202408523,0.16109309865678556
PCA11,swin_tiny,gaussian_blur,4,blur_4,knn1,0.49180176007410836,0.0,0.9332098193608152,0.4414080592867068
PCA11,swin_tiny,gaussian_blur,4,blur_4,knn3,0.5049559981472904,0.0,0.9322834645669291,0.4273274664196387
PCA11,swin_tiny,gaussian_blur,4,blur_4,knn5,0.5094951366373321,0.0,0.9294117647058823,0.4199166280685501
PCA11,swin_tiny,gaussian_blur,4,blur_4,knn10,0.5103288559518295,0.0,0.9281148679944419,0.41778601204261234
PCA11,swin_tiny,gaussian_blur,4,blur_4,nearest_centroid,0.4807781380268643,0.0,0.8483557202408523,0.36757758221398795
PCA11,swin_tiny,gaussian_blur,6,blur_6,knn1,0.37823066234367764,0.0,0.9332098193608152,0.5549791570171375
PCA11,swin_tiny,gaussian_blur,6,blur_6,knn3,0.3684113015284854,0.0,0.9322834645669291,0.5638721630384438
PCA11,swin_tiny,gaussian_blur,6,blur_6,knn5,0.37480314960629924,0.0,0.9294117647058823,0.554608615099583
PCA11,swin_tiny,gaussian_blur,6,blur_6,knn10,0.3686892079666512,0.0,0.9281148679944419,0.5594256600277907
PCA11,swin_tiny,gaussian_blur,6,blur_6,nearest_centroid,0.32885595182955074,0.0,0.8483557202408523,0.5194997684113015
PCA11,swin_tiny,gaussian_blur,8,blur_8,knn1,0.3094025011579435,0.0,0.9332098193608152,0.6238073182028716
PCA11,swin_tiny,gaussian_blur,8,blur_8,knn3,0.2828161185734136,0.0,0.9322834645669291,0.6494673459935155
PCA11,swin_tiny,gaussian_blur,8,blur_8,knn5,0.28976377952755905,0.0,0.9294117647058823,0.6396479851783232
PCA11,swin_tiny,gaussian_blur,8,blur_8,knn10,0.27716535433070866,0.0,0.9281148679944419,0.6509495136637332
PCA11,swin_tiny,gaussian_blur,8,blur_8,nearest_centroid,0.2595646132468736,0.0,0.8483557202408523,0.5887911069939786
PCA11,swin_tiny,gaussian_blur,10,blur_10,knn1,0.23890690134321446,0.0,0.9332098193608152,0.6943029180176007
PCA11,swin_tiny,gaussian_blur,10,blur_10,knn3,0.2288096340898564,0.0,0.9322834645669291,0.7034738304770727
PCA11,swin_tiny,gaussian_blur,10,blur_10,knn5,0.23584993052339046,0.0,0.9294117647058823,0.6935618341824918
PCA11,swin_tiny,gaussian_blur,10,blur_10,knn10,0.21945345067160724,0.0,0.9281148679944419,0.7086614173228346
PCA11,swin_tiny,gaussian_blur,10,blur_10,nearest_centroid,0.21658175081056044,0.0,0.8483557202408523,0.6317739694302918
PCA11,swin_tiny,gaussian_blur,12,blur_12,knn1,0.1745252431681334,0.0,0.9332098193608152,0.7586845761926817
PCA11,swin_tiny,gaussian_blur,12,blur_12,knn3,0.18842056507642427,0.0,0.9322834645669291,0.7438628994905049
PCA11,swin_tiny,gaussian_blur,12,blur_12,knn5,0.20138953219082908,0.0,0.9294117647058823,0.7280222325150532
PCA11,swin_tiny,gaussian_blur,12,blur_12,knn10,0.19277443260768876,0.0,0.9281148679944419,0.7353404353867531
PCA11,swin_tiny,gaussian_blur,12,blur_12,nearest_centroid,0.18805002315886984,0.0,0.8483557202408523,0.6603056970819824
PCA11,swin_tiny,defocus_blur,3,defocus_3,knn1,0.8282538212135248,0.0,0.9332098193608152,0.1049559981472904
PCA11,swin_tiny,defocus_blur,3,defocus_3,knn3,0.8114867994441871,0.0,0.9322834645669291,0.12079666512274201
PCA11,swin_tiny,defocus_blur,3,defocus_3,knn5,0.8080592867068087,0.0,0.9294117647058823,0.12135247799907356
PCA11,swin_tiny,defocus_blur,3,defocus_3,knn10,0.8050949513663733,0.0,0.9281148679944419,0.12301991662806855
PCA11,swin_tiny,defocus_blur,3,defocus_3,nearest_centroid,0.7264474293654469,0.0,0.8483557202408523,0.12190829087540533
PCA11,swin_tiny,defocus_blur,5,defocus_5,knn1,0.6259379342288096,0.0,0.9332098193608152,0.30727188513200554
PCA11,swin_tiny,defocus_blur,5,defocus_5,knn3,0.631959240389069,0.0,0.9322834645669291,0.3003242241778601
PCA11,swin_tiny,defocus_blur,5,defocus_5,knn5,0.6404817044928207,0.0,0.9294117647058823,0.28893006021306156
PCA11,swin_tiny,defocus_blur,5,defocus_5,knn10,0.6401111625752663,0.0,0.9281148679944419,0.2880037054191755
PCA11,swin_tiny,defocus_blur,5,defocus_5,nearest_centroid,0.5961093098656786,0.0,0.8483557202408523,0.2522464103751737
PCA11,swin_tiny,defocus_blur,8,defocus_8,knn1,0.4619731357109773,0.0,0.9332098193608152,0.47123668364983784
PCA11,swin_tiny,defocus_blur,8,defocus_8,knn3,0.47883279295970355,0.0,0.9322834645669291,0.4534506716072256
PCA11,swin_tiny,defocus_blur,8,defocus_8,knn5,0.4855951829550718,0.0,0.9294117647058823,0.44381658175081046
PCA11,swin_tiny,defocus_blur,8,defocus_8,knn10,0.49430291801760073,0.0,0.9281148679944419,0.43381194997684114
PCA11,swin_tiny,defocus_blur,8,defocus_8,nearest_centroid,0.4490041685965725,0.0,0.8483557202408523,0.39935155164427977
PCA11,swin_tiny,defocus_blur,11,defocus_11,knn1,0.36896711440481705,0.0,0.9332098193608152,0.5642427049559982
PCA11,swin_tiny,defocus_blur,11,defocus_11,knn3,0.3726725335803613,0.0,0.9322834645669291,0.5596109309865678
PCA11,swin_tiny,defocus_blur,11,defocus_11,knn5,0.38777211672070405,0.0,0.9294117647058823,0.5416396479851782
PCA11,swin_tiny,defocus_blur,11,defocus_11,knn10,0.3901806391848078,0.0,0.9281148679944419,0.537934228809634
PCA11,swin_tiny,defocus_blur,11,defocus_11,nearest_centroid,0.32654006484483555,0.0,0.8483557202408523,0.5218156553960167
PCA11,swin_tiny,defocus_blur,15,defocus_15,knn1,0.29124594719777674,0.0,0.9332098193608152,0.6419638721630384
PCA11,swin_tiny,defocus_blur,15,defocus_15,knn3,0.2933765632237147,0.0,0.9322834645669291,0.6389069013432145
PCA11,swin_tiny,defocus_blur,15,defocus_15,knn5,0.29735988883742476,0.0,0.9294117647058823,0.6320518758684575
PCA11,swin_tiny,defocus_blur,15,defocus_15,knn10,0.2939323761000463,0.0,0.9281148679944419,0.6341824918943956
PCA11,swin_tiny,defocus_blur,15,defocus_15,nearest_centroid,0.22955071792496526,0.0,0.8483557202408523,0.618805002315887
PCA11,swin_tiny,resize,1.33,resize_1_33,knn1,0.9580361278369616,0.0,0.9332098193608152,-0.02482630847614642
PCA11,swin_tiny,resize,1.33,resize_1_33,knn3,0.9287633163501621,0.0,0.9322834645669291,0.0035201482167670495
PCA11,swin_tiny,resize,1.33,resize_1_33,knn5,0.9184807781380269,0.0,0.9294117647058823,0.010930986567855405
PCA11,swin_tiny,resize,1.33,resize_1_33,knn10,0.9095877721167207,0.0,0.9281148679944419,0.018527095877721167
PCA11,swin_tiny,resize,1.33,resize_1_33,nearest_centroid,0.8076887447892542,0.0,0.8483557202408523,0.04066697545159803
PCA11,swin_tiny,resize,1.67,resize_1_67,knn1,0.9193144974525244,0.0,0.9332098193608152,0.013895321908290792
PCA11,swin_tiny,resize,1.67,resize_1_67,knn3,0.8942102825382121,0.0,0.9322834645669291,0.03807318202871701
PCA11,swin_tiny,resize,1.67,resize_1_67,knn5,0.8839277443260769,0.0,0.9294117647058823,0.04548402037980537
PCA11,swin_tiny,resize,1.67,resize_1_67,knn10,0.8693839740620658,0.0,0.9281148679944419,0.05873089393237607
PCA11,swin_tiny,resize,1.67,resize_1_67,nearest_centroid,0.7531264474293654,0.0,0.8483557202408523,0.09522927281148685
PCA11,swin_tiny,resize,2.0,resize_2_0,knn1,0.7698008337193145,0.0,0.9332098193608152,0.16340898564150064
PCA11,swin_tiny,resize,2.0,resize_2_0,knn3,0.7627605372857804,0.0,0.9322834645669291,0.1695229272811487
PCA11,swin_tiny,resize,2.0,resize_2_0,knn5,0.7618341824918944,0.0,0.9294117647058823,0.16757758221398789
PCA11,swin_tiny,resize,2.0,resize_2_0,knn10,0.7578508568781843,0.0,0.9281148679944419,0.17026401111625755
PCA11,swin_tiny,resize,2.0,resize_2_0,nearest_centroid,0.6547475683186661,0.0,0.8483557202408523,0.19360815192218617
PCA11,swin_tiny,illumination,0.7,brightness_0_7,knn1,1.0,0.0,0.9332098193608152,-0.06679018063918485
PCA11,swin_tiny,illumination,0.7,brightness_0_7,knn3,0.9731357109773043,0.0,0.9322834645669291,-0.040852246410375215
PCA11,swin_tiny,illumination,0.7,brightness_0_7,knn5,0.9615562760537286,0.0,0.9294117647058823,-0.03214451134784635
PCA11,swin_tiny,illumination,0.7,brightness_0_7,knn10,0.9462714219546086,0.0,0.9281148679944419,-0.018156553960166688
PCA11,swin_tiny,illumination,0.7,brightness_0_7,nearest_centroid,0.838073182028717,0.0,0.8483557202408523,0.010282538212135317
PCA11,swin_tiny,illumination,0.85,brightness_0_85,knn1,1.0,0.0,0.9332098193608152,-0.06679018063918485
PCA11,swin_tiny,illumination,0.85,brightness_0_85,knn3,0.9749884205650764,0.0,0.9322834645669291,-0.042704955998147276
PCA11,swin_tiny,illumination,0.85,brightness_0_85,knn5,0.9624826308476147,0.0,0.9294117647058823,-0.03307086614173238
PCA11,swin_tiny,illumination,0.85,brightness_0_85,knn10,0.9485873089393237,0.0,0.9281148679944419,-0.020472440944881876
PCA11,swin_tiny,illumination,0.85,brightness_0_85,nearest_centroid,0.8433534043538675,0.0,0.8483557202408523,0.005002315886984743
PCA11,swin_tiny,illumination,1.15,brightness_1_15,knn1,1.0,0.0,0.9332098193608152,-0.06679018063918485
PCA11,swin_tiny,illumination,1.15,brightness_1_15,knn3,0.971097730430755,0.0,0.9322834645669291,-0.03881426586382586
PCA11,swin_tiny,illumination,1.15,brightness_1_15,knn5,0.9600741083835109,0.0,0.9294117647058823,-0.030662343677628656
PCA11,swin_tiny,illumination,1.15,brightness_1_15,knn10,0.9433997220935618,0.0,0.9281148679944419,-0.015284854099119949
PCA11,swin_tiny,illumination,1.15,brightness_1_15,nearest_centroid,0.8434460398332562,0.0,0.8483557202408523,0.004909680407596095
PCA11,swin_tiny,illumination,1.3,brightness_1_3,knn1,0.9998147290412228,0.0,0.9332098193608152,-0.06660490968040766
PCA11,swin_tiny,illumination,1.3,brightness_1_3,knn3,0.9648911533117184,0.0,0.9322834645669291,-0.032607688744789254
