dataset,backbone,perturbation,severity,tag,rule,accuracy,accuracy_std,acc_clean,drop
WRD25,convnext_tiny,clean,0,original,knn1,0.9449074074074074,0.010698351859529016,0.9449074074074074,0.0
WRD25,convnext_tiny,clean,0,original,knn3,0.9263888888888889,0.00370370370370367,0.9263888888888889,0.0
WRD25,convnext_tiny,clean,0,original,knn5,0.925,0.00476649543564214,0.925,0.0
WRD25,convnext_tiny,clean,0,original,knn10,0.913425925925926,0.00755069742143524,0.913425925925926,0.0
WRD25,convnext_tiny,clean,0,original,nearest_centroid,0.7189814814814814,0.007261290343221361,0.7189814814814814,0.0
WRD25,convnext_tiny,gaussian_blur,2,blur_2,knn1,0.7126969416126042,0.0,0.9449074074074074,0.2322104657948032
WRD25,convnext_tiny,gaussian_blur,2,blur_2,knn3,0.7020389249304912,0.0,0.9263888888888889,0.22434996395839768
WRD25,convnext_tiny,gaussian_blur,2,blur_2,knn5,0.696014828544949,0.0,0.925,0.22898517145505104
WRD25,convnext_tiny,gaussian_blur,2,blur_2,knn10,0.6899907321594069,0.0,0.913425925925926,0.2234351937665191
WRD25,convnext_tiny,gaussian_blur,2,blur_2,nearest_centroid,0.5852641334569045,0.0,0.7189814814814814,0.1337173480245769
WRD25,convnext_tiny,gaussian_blur,4,blur_4,knn1,0.27664504170528265,0.0,0.9449074074074074,0.6682623657021247
WRD25,convnext_tiny,gaussian_blur,4,blur_4,knn3,0.2812789620018536,0.0,0.9263888888888889,0.6451099268870353
WRD25,convnext_tiny,gaussian_blur,4,blur_4,knn5,0.30213160333642264,0.0,0.925,0.6228683966635774
WRD25,convnext_tiny,gaussian_blur,4,blur_4,knn10,0.31974050046339203,0.0,0.913425925925926,0.5936854254625339
WRD25,convnext_tiny,gaussian_blur,4,blur_4,nearest_centroid,0.2933271547729379,0.0,0.7189814814814814,0.42565432670854353
WRD25,convnext_tiny,gaussian_blur,6,blur_6,knn1,0.22289156626506024,0.0,0.9449074074074074,0.7220158411423472
WRD25,convnext_tiny,gaussian_blur,6,blur_6,knn3,0.2117701575532901,0.0,0.9263888888888889,0.7146187313355988
WRD25,convnext_tiny,gaussian_blur,6,blur_6,knn5,0.21825764596848934,0.0,0.925,0.7067423540315108
WRD25,convnext_tiny,gaussian_blur,6,blur_6,knn10,0.22242817423540315,0.0,0.913425925925926,0.6909977516905228
