dataset,backbone,perturbation,severity,tag,rule,accuracy,accuracy_std,acc_clean,drop
WRD25,dinov2_b,clean,0,original,knn1,0.9583333333333334,0.007320087176315698,0.9583333333333334,0.0
WRD25,dinov2_b,clean,0,original,knn3,0.9601851851851851,0.005359183751291773,0.9601851851851851,0.0
WRD25,dinov2_b,clean,0,original,knn5,0.9481481481481481,0.007550697421435216,0.9481481481481481,0.0
WRD25,dinov2_b,clean,0,original,knn10,0.9263888888888887,0.0017322487901730872,0.9263888888888887,0.0
WRD25,dinov2_b,clean,0,original,nearest_centroid,0.7717592592592593,0.009777181519418017,0.7717592592592593,0.0
WRD25,dinov2_b,gaussian_blur,2,blur_2,knn1,0.9782205746061168,0.0,0.9583333333333334,-0.019887241272783407
WRD25,dinov2_b,gaussian_blur,2,blur_2,knn3,0.9425393883225208,0.0,0.9601851851851851,0.01764579686266432
WRD25,dinov2_b,gaussian_blur,2,blur_2,knn5,0.9295644114921223,0.0,0.9481481481481481,0.01858373665602575
WRD25,dinov2_b,gaussian_blur,2,blur_2,knn10,0.9119555143651529,0.0,0.9263888888888887,0.014433374523735831
WRD25,dinov2_b,gaussian_blur,2,blur_2,nearest_centroid,0.726598702502317,0.0,0.7717592592592593,0.045160556756942305
WRD25,dinov2_b,gaussian_blur,4,blur_4,knn1,0.5500463392029658,0.0,0.9583333333333334,0.4082869941303676
WRD25,dinov2_b,gaussian_blur,4,blur_4,knn3,0.5421686746987951,0.0,0.9601851851851851,0.41801651048639
WRD25,dinov2_b,gaussian_blur,4,blur_4,knn5,0.5491195551436515,0.0,0.9481481481481481,0.39902859300449656
WRD25,dinov2_b,gaussian_blur,4,blur_4,knn10,0.5532900834105653,0.0,0.9263888888888887,0.3730988054783234
WRD25,dinov2_b,gaussian_blur,4,blur_4,nearest_centroid,0.41890639481000924,0.0,0.7717592592592593,0.35285286444925
WRD25,dinov2_b,gaussian_blur,6,blur_6,knn1,0.33271547729379053,0.0,0.9583333333333334,0.6256178560395429
WRD25,dinov2_b,gaussian_blur,6,blur_6,knn3,0.3341056533827618,0.0,0.9601851851851851,0.6260795318024233
WRD25,dinov2_b,gaussian_blur,6,blur_6,knn5,0.3438368860055607,0.0,0.9481481481481481,0.6043112621425873
WRD25,dinov2_b,gaussian_blur,6,blur_6,knn10,0.3396663577386469,0.0,0.9263888888888887,0.5867225311502418
