dataset,backbone,perturbation,severity,tag,rule,accuracy,accuracy_std,acc_clean,drop
WRD25,efficientnet_b3,clean,0,original,knn1,0.9430555555555555,0.004293341896062821,0.9430555555555555,0.0
WRD25,efficientnet_b3,clean,0,original,knn3,0.9282407407407407,0.011053089246586397,0.9282407407407407,0.0
WRD25,efficientnet_b3,clean,0,original,knn5,0.912037037037037,0.008905270398921908,0.912037037037037,0.0
WRD25,efficientnet_b3,clean,0,original,knn10,0.8958333333333334,0.01500171457964784,0.8958333333333334,0.0
WRD25,efficientnet_b3,clean,0,original,nearest_centroid,0.750925925925926,0.011766912062165583,0.750925925925926,0.0
WRD25,efficientnet_b3,gaussian_blur,2,blur_2,knn1,0.8503243744207599,0.0,0.9430555555555555,0.09273118113479561
WRD25,efficientnet_b3,gaussian_blur,2,blur_2,knn3,0.8174235403151066,0.0,0.9282407407407407,0.11081720042563414
WRD25,efficientnet_b3,gaussian_blur,2,blur_2,knn5,0.8164967562557924,0.0,0.912037037037037,0.09554028078124455
WRD25,efficientnet_b3,gaussian_blur,2,blur_2,knn10,0.8058387395736794,0.0,0.8958333333333334,0.08999459375965402
WRD25,efficientnet_b3,gaussian_blur,2,blur_2,nearest_centroid,0.6969416126042632,0.0,0.750925925925926,0.05398431332166276
WRD25,efficientnet_b3,gaussian_blur,4,blur_4,knn1,0.42075996292863765,0.0,0.9430555555555555,0.5222955926269179
WRD25,efficientnet_b3,gaussian_blur,4,blur_4,knn3,0.4263206672845227,0.0,0.9282407407407407,0.5019200734562179
WRD25,efficientnet_b3,gaussian_blur,4,blur_4,knn5,0.4235403151065802,0.0,0.912037037037037,0.4884967219304568
WRD25,efficientnet_b3,gaussian_blur,4,blur_4,knn10,0.4365152919369787,0.0,0.8958333333333334,0.4593180413963547
WRD25,efficientnet_b3,gaussian_blur,4,blur_4,nearest_centroid,0.37395736793327156,0.0,0.750925925925926,0.37696855799265444
WRD25,efficientnet_b3,gaussian_blur,6,blur_6,knn1,0.30120481927710846,0.0,0.9430555555555555,0.6418507362784471
WRD25,efficientnet_b3,gaussian_blur,6,blur_6,knn3,0.32715477293790546,0.0,0.9282407407407407,0.6010859678028353
WRD25,efficientnet_b3,gaussian_blur,6,blur_6,knn5,0.31742354031510656,0.0,0.912037037037037,0.5946134967219304
WRD25,efficientnet_b3,gaussian_blur,6,blur_6,knn10,0.3392029657089898,0.0,0.8958333333333334,0.5566303676243436
WRD25,efficientnet_b3,gaussian_blur,6,blur_6,nearest_centroid,0.3169601482854495,0.0,0.750925925925926,0.4339657776404765
WRD25,efficientnet_b3,gaussian_blur,8,blur_8,knn1,0.2622798887859129,0.0,0.9430555555555555,0.6807756667696426
WRD25,efficientnet_b3,gaussian_blur,8,blur_8,knn3,0.2905468025949954,0.0,0.9282407407407407,0.6376939381457454
WRD25,efficientnet_b3,gaussian_blur,8,blur_8,knn5,0.298887859128823,0.0,0.912037037037037,0.613149177908214
WRD25,efficientnet_b3,gaussian_blur,8,blur_8,knn10,0.3035217794253939,0.0,0.8958333333333334,0.5923115539079395
