dataset,backbone,perturbation,severity,tag,rule,accuracy,accuracy_std,acc_clean,drop
WRD25,swin_tiny,clean,0,original,knn1,0.9662037037037037,0.007407407407407402,0.9662037037037037,0.0
WRD25,swin_tiny,clean,0,original,knn3,0.9532407407407406,0.005555555555555529,0.9532407407407406,0.0
WRD25,swin_tiny,clean,0,original,knn5,0.9425925925925925,0.01262794601572765,0.9425925925925925,0.0
WRD25,swin_tiny,clean,0,original,knn10,0.9259259259259259,0.012508570450098424,0.9259259259259259,0.0
WRD25,swin_tiny,clean,0,original,nearest_centroid,0.7481481481481482,0.015242664475142883,0.7481481481481482,0.0
WRD25,swin_tiny,gaussian_blur,2,blur_2,knn1,0.8443002780352178,0.0,0.9662037037037037,0.12190342566848589
WRD25,swin_tiny,gaussian_blur,2,blur_2,knn3,0.8322520852641334,0.0,0.9532407407407406,0.1209886554766072
WRD25,swin_tiny,gaussian_blur,2,blur_2,knn5,0.8280815569972196,0.0,0.9425925925925925,0.1145110355953729
WRD25,swin_tiny,gaussian_blur,2,blur_2,knn10,0.8225208526413346,0.0,0.9259259259259259,0.10340507328459136
WRD25,swin_tiny,gaussian_blur,2,blur_2,nearest_centroid,0.6691380908248378,0.0,0.7481481481481482,0.07901005732331046
WRD25,swin_tiny,gaussian_blur,4,blur_4,knn1,0.47080630213160335,0.0,0.9662037037037037,0.4953974015721003
WRD25,swin_tiny,gaussian_blur,4,blur_4,knn3,0.453660797034291,0.0,0.9532407407407406,0.4995799437064496
WRD25,swin_tiny,gaussian_blur,4,blur_4,knn5,0.4582947173308619,0.0,0.9425925925925925,0.4842978752617306
WRD25,swin_tiny,gaussian_blur,4,blur_4,knn10,0.45597775718257644,0.0,0.9259259259259259,0.4699481687433495
WRD25,swin_tiny,gaussian_blur,4,blur_4,nearest_centroid,0.3901760889712697,0.0,0.7481481481481482,0.3579720591768785
WRD25,swin_tiny,gaussian_blur,6,blur_6,knn1,0.2789620018535681,0.0,0.9662037037037037,0.6872417018501356
WRD25,swin_tiny,gaussian_blur,6,blur_6,knn3,0.283595922150139,0.0,0.9532407407407406,0.6696448185906017
WRD25,swin_tiny,gaussian_blur,6,blur_6,knn5,0.29147358665430956,0.0,0.9425925925925925,0.651119005938283
WRD25,swin_tiny,gaussian_blur,6,blur_6,knn10,0.29008341056533826,0.0,0.9259259259259259,0.6358425153605877
WRD25,swin_tiny,gaussian_blur,6,blur_6,nearest_centroid,0.2655236329935125,0.0,0.7481481481481482,0.4826245151546357
WRD25,swin_tiny,gaussian_blur,8,blur_8,knn1,0.2428174235403151,0.0,0.9662037037037037,0.7233862801633886
WRD25,swin_tiny,gaussian_blur,8,blur_8,knn3,0.25440222428174236,0.0,0.9532407407407406,0.6988385164589983
WRD25,swin_tiny,gaussian_blur,8,blur_8,knn5,0.2511584800741427,0.0,0.9425925925925925,0.6914341125184498
WRD25,swin_tiny,gaussian_blur,8,blur_8,knn10,0.2557924003707136,0.0,0.9259259259259259,0.6701335255552123
WRD25,swin_tiny,gaussian_blur,8,blur_8,nearest_centroid,0.24003707136237257,0.0,0.7481481481481482,0.5081110767857757
WRD25,swin_tiny,gaussian_blur,10,blur_10,knn1,0.22335495829471733,0.0,0.9662037037037037,0.7428487454089864
WRD25,swin_tiny,gaussian_blur,10,blur_10,knn3,0.22706209453197404,0.0,0.9532407407407406,0.7261786462087666
WRD25,swin_tiny,gaussian_blur,10,blur_10,knn5,0.22520852641334568,0.0,0.9425925925925925,0.7173840661792469
WRD25,swin_tiny,gaussian_blur,10,blur_10,knn10,0.24652455977757182,0.0,0.9259259259259259,0.6794013661483541
WRD25,swin_tiny,gaussian_blur,10,blur_10,nearest_centroid,0.20250231696014828,0.0,0.7481481481481482,0.5456458311879999
WRD25,swin_tiny,gaussian_blur,12,blur_12,knn1,0.19879518072289157,0.0,0.9662037037037037,0.7674085229808121
