dataset,backbone,perturbation,severity,tag,rule,protocol,n_splits,test_size,split_seed,accuracy,accuracy_std,acc_clean,drop
DTSR14,convnext_tiny,blue_channel_shift,-30,blue_channel_shift_-30,linear_probe,split_disjoint_v1,5,0.2,42,0.9539584503088152,0.0035688374131545,0.966760247052218,0.0128017967434027
DTSR14,convnext_tiny,blue_channel_shift,-45,blue_channel_shift_-45,linear_probe,split_disjoint_v1,5,0.2,42,0.9432902863559798,0.0042167284347037,0.966760247052218,0.0234699606962381
DTSR14,convnext_tiny,blue_channel_shift,30,blue_channel_shift_30,linear_probe,split_disjoint_v1,5,0.2,42,0.9399213924761368,0.0018790792285998,0.966760247052218,0.026838854576081
DTSR14,convnext_tiny,blue_channel_shift,45,blue_channel_shift_45,linear_probe,split_disjoint_v1,5,0.2,42,0.8999438517686693,0.0043838790108799,0.966760247052218,0.0668163952835486
DTSR14,convnext_tiny,clean,0,original,linear_probe,split_disjoint_v1,5,0.2,42,0.966760247052218,0.003697266172522,0.966760247052218,0.0
DTSR14,convnext_tiny,compound,mild,compound_mild,linear_probe,split_disjoint_v1,5,0.2,42,0.3995508141493543,0.0047986211385112,0.966760247052218,0.5672094329028636
DTSR14,convnext_tiny,compound,moderate,compound_moderate,linear_probe,split_disjoint_v1,5,0.2,42,0.3155530600786075,0.0,0.966760247052218,0.6512071869736105
DTSR14,convnext_tiny,compound,severe,compound_severe,linear_probe,split_disjoint_v1,5,0.2,42,0.3160022459292532,0.00065479527174,0.966760247052218,0.6507580011229648
DTSR14,convnext_tiny,compound_digital,mild,compound_digital_mild,linear_probe,split_disjoint_v1,5,0.2,42,0.9427288040426726,0.0032352297115975,0.966760247052218,0.0240314430095454
DTSR14,convnext_tiny,compound_digital,moderate,compound_digital_moderate,linear_probe,split_disjoint_v1,5,0.2,42,0.705670971364402,0.0092901147130584,0.966760247052218,0.2610892756878159
DTSR14,convnext_tiny,compound_digital,severe,compound_digital_severe,linear_probe,split_disjoint_v1,5,0.2,42,0.5401459854014599,0.0111902734808337,0.966760247052218,0.4266142616507581
DTSR14,convnext_tiny,compound_field,mild,compound_field_mild,linear_probe,split_disjoint_v1,5,0.2,42,0.7334081976417743,0.010590455477015,0.966760247052218,0.2333520494104436
DTSR14,convnext_tiny,compound_field,moderate,compound_field_moderate,linear_probe,split_disjoint_v1,5,0.2,42,0.5126333520494104,0.010162674764064,0.966760247052218,0.4541268950028075
DTSR14,convnext_tiny,compound_field,severe,compound_field_severe,linear_probe,split_disjoint_v1,5,0.2,42,0.4658057271195958,0.0091202427868599,0.966760247052218,0.5009545199326222
