dataset,backbone,perturbation,severity,tag,n_pairs,n_flip,flip_rate,auc_total_drift,auc_pred_margin,firstorder_recall
WRD25,convnext_tiny,gaussian_blur,2,blur_2,1553,438,0.28203477141017386,0.6134477957286484,0.7797387226897639,0.45662100456621
WRD25,convnext_tiny,gaussian_blur,4,blur_4,1553,1022,0.6580811332904056,0.7850905318400094,0.8748917413881426,0.4500978473581213
WRD25,convnext_tiny,gaussian_blur,6,blur_6,1553,1214,0.7817128139085641,0.8334001545392252,0.9209128505683448,0.4744645799011532
WRD25,convnext_tiny,gaussian_blur,8,blur_8,1553,1252,0.8061815840309079,0.8923197966310382,0.93154872469829,0.4736421725239617
WRD25,convnext_tiny,gaussian_blur,10,blur_10,1553,1294,0.8332260141661301,0.8784992212349244,0.921132879401813,0.4845440494590417
WRD25,convnext_tiny,gaussian_blur,12,blur_12,1553,1336,0.8602704443013522,0.8308314247081873,0.9069648720991198,0.5172155688622755
WRD25,convnext_tiny,defocus_blur,3,defocus_3,1553,291,0.18737926593689633,0.5676706368008017,0.8018173302617893,0.4845360824742268
WRD25,convnext_tiny,defocus_blur,5,defocus_5,1553,701,0.4513844172569221,0.611840563112388,0.8213568142090775,0.4522111269614836
WRD25,convnext_tiny,defocus_blur,8,defocus_8,1553,976,0.6284610431423052,0.6221375401312612,0.8689092820410829,0.44979508196721313
WRD25,convnext_tiny,defocus_blur,11,defocus_11,1553,1097,0.7063747585318738,0.6922577923843336,0.9041184890210943,0.4840474020054695
WRD25,convnext_tiny,defocus_blur,15,defocus_15,1553,1231,0.7926593689632968,0.7015101593916979,0.8871694476540307,0.4524776604386678
WRD25,convnext_tiny,resize,1.33,resize_1_33,1553,134,0.08628461043142305,0.5319833180818949,0.9479820769303587,0.6940298507462687
WRD25,convnext_tiny,resize,1.67,resize_1_67,1553,270,0.17385705086928527,0.6056652521578476,0.9066683987182819,0.6555555555555556
WRD25,convnext_tiny,resize,2.0,resize_2_0,1553,416,0.2678686413393432,0.623866788444625,0.8496549624517962,0.6009615384615384
WRD25,convnext_tiny,illumination,0.7,brightness_0_7,1553,44,0.028332260141661302,0.6100292186276282,0.987996264835231,0.7954545454545454
WRD25,convnext_tiny,illumination,0.85,brightness_0_85,1553,28,0.0180296200901481,0.7352224824355972,0.9923653395784543,0.8571428571428571
WRD25,convnext_tiny,illumination,1.15,brightness_1_15,1553,15,0.009658725048293626,0.6927394885132206,1.0,1.0
WRD25,convnext_tiny,illumination,1.3,brightness_1_3,1553,36,0.0231809401159047,0.6763348714568227,0.9816340730974877,0.7777777777777778
WRD25,convnext_tiny,jpeg,10,jpeg_10,1553,676,0.4352865421764327,0.6856938999952771,0.8316881784998618,0.514792899408284
WRD25,convnext_tiny,jpeg,20,jpeg_20,1553,423,0.27237604636188023,0.7201813845477938,0.8475553881880373,0.5224586288416075
WRD25,convnext_tiny,jpeg,30,jpeg_30,1553,318,0.20476497102382485,0.7479375143228172,0.846298984034833,0.5534591194968553
WRD25,convnext_tiny,jpeg,50,jpeg_50,1553,238,0.15325177076625884,0.7442023197111545,0.850778029843116,0.5882352941176471
WRD25,convnext_tiny,jpeg,70,jpeg_70,1553,165,0.10624597553122987,0.6958671731726487,0.8935944458999214,0.5818181818181818
WRD25,convnext_tiny,red_channel_shift,-45,color_shift_-45,1553,149,0.09594333547971667,0.5464922847473184,0.9802625289202471,0.7986577181208053
WRD25,convnext_tiny,red_channel_shift,-30,color_shift_-30,1553,107,0.06889890534449453,0.5338639624617055,0.9948423624306821,0.8785046728971962
WRD25,convnext_tiny,red_channel_shift,30,color_shift_30,1553,86,0.05537669027688345,0.7173475372933213,0.9890379036476911,0.9069767441860465
WRD25,convnext_tiny,red_channel_shift,45,color_shift_45,1553,142,0.09143593045717965,0.7376323853824578,0.971880895579002,0.7887323943661971
WRD25,convnext_tiny,green_channel_shift,-45,green_channel_shift_-45,1553,164,0.1056020605280103,0.5490570510456724,0.9572336652092223,0.7682926829268293
WRD25,convnext_tiny,green_channel_shift,-30,green_channel_shift_-30,1553,116,0.0746941403734707,0.4984792311568642,0.9908093969716604,0.8706896551724138
WRD25,convnext_tiny,green_channel_shift,30,green_channel_shift_30,1553,110,0.07083065035415326,0.5932778932778933,0.9877968877968878,0.8727272727272727
WRD25,convnext_tiny,green_channel_shift,45,green_channel_shift_45,1553,151,0.09723116548615583,0.5957359873784849,0.9748419948795949,0.8278145695364238
WRD25,convnext_tiny,blue_channel_shift,-45,blue_channel_shift_-45,1553,109,0.07018673535093367,0.5501378688149635,0.9875219192355587,0.8165137614678899
WRD25,convnext_tiny,blue_channel_shift,-30,blue_channel_shift_-30,1553,89,0.05730843528654218,0.5394716645177136,0.988180757659483,0.8651685393258427
WRD25,convnext_tiny,blue_channel_shift,30,blue_channel_shift_30,1553,76,0.0489375402446877,0.5332510779317963,0.9924633859530343,0.868421052631579
WRD25,convnext_tiny,blue_channel_shift,45,blue_channel_shift_45,1553,148,0.0952994204764971,0.5820020198134076,0.9731028181206117,0.8040540540540541
WRD25,convnext_tiny,gaussian_noise,0.02,gaussian_noise_0_02,1553,70,0.04507405022537025,0.5374289567479048,0.9935073692322511,0.9
WRD25,convnext_tiny,gaussian_noise,0.05,gaussian_noise_0_05,1553,180,0.1159047005795235,0.5597636966901351,0.9118232580723477,0.6833333333333333
WRD25,convnext_tiny,gaussian_noise,0.1,gaussian_noise_0_1,1553,401,0.25820991629104956,0.6221382308118593,0.8277028782211139,0.5062344139650873
