model,term,estimate,se,p,ci_lo,ci_hi
crossed_dataset_backbone,Intercept,-0.052841335385574964,0.026373782670033225,0.04511770465206826,-0.1045329995549267,-0.0011496712162232178
crossed_dataset_backbone,C(perturbation)[T.compound],0.045325956863121394,,,,
crossed_dataset_backbone,C(perturbation)[T.compound_digital],-0.06048218842203665,,,,
crossed_dataset_backbone,C(perturbation)[T.compound_field],-0.08590566976814934,,,,
crossed_dataset_backbone,C(perturbation)[T.compound_optical],-0.06976374510242757,,,,
crossed_dataset_backbone,C(perturbation)[T.contrast],-0.047329940772286645,489939.74118003336,0.9999999229214823,-960264.2946376817,960264.1999778003
crossed_dataset_backbone,C(perturbation)[T.defocus_blur],0.14817455537116442,0.027990311344513824,1.1981344502453364e-07,0.09331455321985443,0.2030345575224744
crossed_dataset_backbone,C(perturbation)[T.gaussian_blur],0.1654140057681659,0.02980691238176038,2.864577649305047e-08,0.10699353100957454,0.22383448052675725
crossed_dataset_backbone,C(perturbation)[T.gaussian_noise],-0.04712580121284861,359176.38926016097,0.9999998953134162,-703972.8341728558,703972.7399212534
crossed_dataset_backbone,C(perturbation)[T.green_channel_shift],-0.01134709925985108,0.012216204662926848,0.35296353744744835,-0.03529042042695797,0.012596221907255815
crossed_dataset_backbone,C(perturbation)[T.illumination],-0.2263895613487589,776634.189551285,0.9999997674159364,-1522175.2670725335,1522174.8142934109
crossed_dataset_backbone,C(perturbation)[T.impulse_noise],0.09131113730103492,357928.13837868074,0.9999997964514693,-701526.1689645456,701526.3515868202
crossed_dataset_backbone,C(perturbation)[T.jpeg],-0.00687991071386108,0.020453708077510676,0.7365956689743556,-0.04696844189607799,0.033208620468355834
crossed_dataset_backbone,C(perturbation)[T.motion_blur],0.04506433490995165,0.028237558922523744,0.1105110058867427,-0.01028026358952254,0.10040893340942585
crossed_dataset_backbone,C(perturbation)[T.pixelate],0.07177739039473738,618651.2005423149,0.9999999074275269,-1212534.0002780133,1212534.143832794
crossed_dataset_backbone,C(perturbation)[T.red_channel_shift],0.0023540483739531194,0.012160010640348403,0.8464974496208162,-0.02147913453275359,0.02618723128065983
crossed_dataset_backbone,C(perturbation)[T.resize],-0.018642567610161854,,,,
crossed_dataset_backbone,C(perturbation)[T.rotation],0.036744016164614264,0.02257050869026399,0.10353213839234678,-0.007493367981051463,0.08098140031027999
crossed_dataset_backbone,C(perturbation)[T.scratch],-0.280560917259844,,,,
crossed_dataset_backbone,C(perturbation)[T.shot_noise],0.12860878181902521,0.0214979485592136,2.199077767090658e-09,0.08647357690147181,0.17074398673657862
crossed_dataset_backbone,C(perturbation)[T.zoom_blur],-0.024879649039418337,2093049.529928321,0.9999999905157104,-4102301.721397648,4102301.6716383505
crossed_dataset_backbone,C(severity)[T.-45],-0.009401140748962396,0.01407702816381265,0.5042385303181766,-0.036991608959391194,0.018189327461466405
crossed_dataset_backbone,C(severity)[T.0.01],-0.0295360488504063,358192.3297345605,0.9999999342075321,-702044.095354283,702044.0362821852
crossed_dataset_backbone,C(severity)[T.0.02],0.05269578630499209,358737.95405764505,0.9999998827970282,-703113.4171447825,703113.5225363552
crossed_dataset_backbone,C(severity)[T.0.03],0.026507841944659154,358625.590409932,0.9999999410242928,-702893.2146300379,702893.2676457217
crossed_dataset_backbone,C(severity)[T.0.05],0.06510646122325224,358438.83670082426,0.99999985507307,-702527.1454875881,702527.2757005105
crossed_dataset_backbone,C(severity)[T.0.1],0.1290475446823667,358647.4452324661,0.9999997129073555,-702935.9467553904,702936.2048504797
crossed_dataset_backbone,C(severity)[T.0.25],0.21080196439412943,649508.4542828437,0.9999997410416575,-1273012.9672466896,1273013.3888506184
crossed_dataset_backbone,C(severity)[T.0.33],0.1442305119363064,661159.7590712181,0.9999998259432806,-1295849.1715762548,1295849.4600372787
crossed_dataset_backbone,C(severity)[T.0.5],0.04805329943300709,568398.6139822025,0.999999932545603,-1114040.7642143022,1114040.8603209013
crossed_dataset_backbone,C(severity)[T.0.7],0.23978541859262817,1268238.320800395,0.9999998491442182,-2485701.192796911,2485701.672367748
crossed_dataset_backbone,C(severity)[T.0.75],0.06174082793440655,593051.5152021415,0.9999999169346134,-1162359.5490322777,1162359.6725139336
crossed_dataset_backbone,C(severity)[T.0.85],0.24672154255120335,1278108.028570266,0.9999998459791307,-2505045.4576276694,2505045.9510707543
crossed_dataset_backbone,C(severity)[T.1.05],0.01631456722462534,,,,
crossed_dataset_backbone,C(severity)[T.1.1],0.1223897573557852,,,,
crossed_dataset_backbone,C(severity)[T.1.15],0.24507222366376144,1181020.3369877662,0.9999998344318575,-2314757.080433156,2314757.5705776033
crossed_dataset_backbone,C(severity)[T.1.2],0.2129248914762646,2508348.2536311094,0.9999999322703762,-4916272.024876024,4916272.450725806
crossed_dataset_backbone,C(severity)[T.1.25],0.06431589942082995,576319.4752542495,0.9999999109579576,-1129565.3507714525,1129565.4794032515
crossed_dataset_backbone,C(severity)[T.1.3],0.23846450631686764,1154114.2926529343,0.9999998351401165,-2262022.209178165,2262022.6861071778
