pair,direction,backbone,n_shared_species,cross_source_accuracy,failure,gamma,K_AA,K_BB,K_AB,mmd2,within_batch_spread,n_reference_used,n_target_used
BFS46<->FSDM41,BFS46->FSDM41,resnet50,24,0.0074541284403669,0.9925458715596331,0.4829513488841454,0.6292712688446045,0.6546612977981567,0.5855475664138794,0.11283743381500244,0.44734659790992737,1088,1744
BFS46<->FSDM41,FSDM41->BFS46,resnet50,24,0.0091911764705882,0.9908088235294118,0.4829513488841454,0.6546612977981567,0.6292712688446045,0.5855481624603271,0.11283624172210693,0.4889026880264282,1744,1088
BFS46<->FSDM41,BFS46->FSDM41,efficientnet_b3,24,0.003440366972477,0.996559633027523,0.4038496386318019,0.6264289021492004,0.6405860185623169,0.592958390712738,0.08109813928604126,0.5629862546920776,1088,1744
BFS46<->FSDM41,FSDM41->BFS46,efficientnet_b3,24,0.0119485294117647,0.9880514705882353,0.4038496386318019,0.6405860185623169,0.6264289021492004,0.5929583311080933,0.08109825849533081,0.5926971435546875,1744,1088
BFS46<->FSDM41,BFS46->FSDM41,convnext_tiny,24,0.0011467889908256,0.9988532110091743,0.4229761669095864,0.6392379999160767,0.6302816867828369,0.5920681357383728,0.08538341522216797,0.5560658574104309,1088,1744
BFS46<->FSDM41,FSDM41->BFS46,convnext_tiny,24,0.0174632352941176,0.9825367647058824,0.4229761669095864,0.6302816867828369,0.6392379999160767,0.5920680165290833,0.08538365364074707,0.5390136241912842,1744,1088
BFS46<->FSDM41,BFS46->FSDM41,swin_tiny,24,0.0045871559633027,0.9954128440366973,0.4056785071261831,0.626447856426239,0.642738938331604,0.5883561968803406,0.09247440099716187,0.554618775844574,1088,1744
BFS46<->FSDM41,FSDM41->BFS46,swin_tiny,24,0.0183823529411764,0.9816176470588236,0.4056785071261831,0.642738938331604,0.626447856426239,0.5883562564849854,0.09247428178787231,0.5873027443885803,1744,1088
BFS46<->FSDM41,BFS46->FSDM41,dinov2_b,24,0.0252293577981651,0.9747706422018348,0.44075574990090544,0.6425542235374451,0.6460995078086853,0.5792077779769897,0.13023817539215088,0.5040371417999268,1088,1744
BFS46<->FSDM41,FSDM41->BFS46,dinov2_b,24,0.0137867647058823,0.9862132352941178,0.44075574990090544,0.6460995078086853,0.6425542235374451,0.5792078971862793,0.13023793697357178,0.5122963786125183,1744,1088
BFS46<->FSDM41,BFS46->FSDM41,hrnet32,24,0.0045871559633027,0.9954128440366973,0.6580944337860085,0.6084023118019104,0.6647268533706665,0.5838303565979004,0.10546845197677612,0.31553226709365845,1088,1744
BFS46<->FSDM41,FSDM41->BFS46,hrnet32,24,0.0064338235294117,0.9935661764705883,0.6580944337860085,0.6647268533706665,0.6084023118019104,0.5838301181793213,0.10546892881393433,0.38500285148620605,1744,1088
BFS46<->FSDM41,BFS46->FSDM41,mobilenetv3,24,0.0086009174311926,0.9913990825688074,0.3628195244692527,0.6362735033035278,0.6494201421737671,0.5904091596603394,0.10487532615661621,0.6052148342132568,1088,1744
BFS46<->FSDM41,FSDM41->BFS46,mobilenetv3,24,0.0147058823529411,0.9852941176470589,0.3628195244692527,0.6494201421737671,0.6362735033035278,0.5904092192649841,0.10487520694732666,0.6344656944274902,1744,1088
DTSR14<->WOODAUTH,DTSR14->WOODAUTH,resnet50,4,0.3406929347826087,0.6593070652173914,0.5147459295034503,0.6985835433006287,0.6459748148918152,0.5762378573417664,0.19208264350891113,0.43703168630599976,1440,2944
DTSR14<->WOODAUTH,WOODAUTH->DTSR14,resnet50,4,0.2638888888888889,0.7361111111111112,0.5147459295034503,0.6459748148918152,0.6985835433006287,0.5762378573417664,0.19208264350891113,0.35448533296585083,2944,1440
DTSR14<->WOODAUTH,DTSR14->WOODAUTH,efficientnet_b3,4,0.2870244565217391,0.712975543478261,0.3931845452363811,0.6765536665916443,0.6523281931877136,0.5733567476272583,0.1821683645248413,0.5587039589881897,1440,2944
DTSR14<->WOODAUTH,WOODAUTH->DTSR14,efficientnet_b3,4,0.3277777777777778,0.6722222222222223,0.3931845452363811,0.6523281931877136,0.6765536665916443,0.5733577013015747,0.1821664571762085,0.5057955384254456,2944,1440
DTSR14<->WOODAUTH,DTSR14->WOODAUTH,convnext_tiny,4,0.3141983695652174,0.6858016304347826,0.4368623888432974,0.6627825498580933,0.6461830735206604,0.5668112635612488,0.1753430962562561,0.5182467699050903,1440,2944
DTSR14<->WOODAUTH,WOODAUTH->DTSR14,convnext_tiny,4,0.2909722222222222,0.7090277777777778,0.4368623888432974,0.6461830735206604,0.6627825498580933,0.5668115019798279,0.1753426194190979,0.4794258773326874,2944,1440
DTSR14<->WOODAUTH,DTSR14->WOODAUTH,swin_tiny,4,0.3223505434782608,0.6776494565217392,0.3692149513294824,0.6605206727981567,0.6566891670227051,0.5763249397277832,0.1645599603652954,0.583766520023346,1440,2944
DTSR14<->WOODAUTH,WOODAUTH->DTSR14,swin_tiny,4,0.3576388888888889,0.6423611111111112,0.3692149513294824,0.6566891670227051,0.6605206727981567,0.576324999332428,0.16455984115600586,0.5692393183708191,2944,1440
DTSR14<->WOODAUTH,DTSR14->WOODAUTH,dinov2_b,4,0.2866847826086957,0.7133152173913043,0.48545100905496114,0.6593347191810608,0.6726818084716797,0.5573790669441223,0.21725839376449585,0.42055630683898926,1440,2944
DTSR14<->WOODAUTH,WOODAUTH->DTSR14,dinov2_b,4,0.3986111111111111,0.601388888888889,0.48545100905496114,0.6726818084716797,0.6593347191810608,0.5573791265487671,0.2172582745552063,0.43656620383262634,2944,1440
DTSR14<->WOODAUTH,DTSR14->WOODAUTH,hrnet32,4,0.2900815217391304,0.7099184782608696,0.6317630575236262,0.701203465461731,0.6482225060462952,0.5612878203392029,0.22685033082962036,0.3544747829437256,1440,2944
DTSR14<->WOODAUTH,WOODAUTH->DTSR14,hrnet32,4,0.2236111111111111,0.7763888888888889,0.6317630575236262,0.6482225060462952,0.701203465461731,0.561287522315979,0.22685092687606812,0.28521600365638733,2944,1440
