policy,condition,mmd,failure,gamma,n_backbones,n_records
global_median,TierC_BFS46_FSDM41,0.09683216469628471,0.9895030259810346,0.41572888040716494,7,14
global_median,TierC_DTSR14_WOODAUTH,0.18420545543943131,0.6804169901656315,0.41572888040716494,7,14
global_median,TierD_xmag_x10x20,0.06443630797522408,0.41934065934065934,0.41572888040716494,7,14
global_median,TierD_xmag_x10x50,0.10332170554569789,0.7527472527472528,0.41572888040716494,7,14
global_median,TierD_xmag_x20x50,0.1355687379837036,0.8277472527472528,0.41572888040716494,7,14
global_median,clean_TierA,0.029038349787394207,0.0,0.4157288804071649,7,21
global_median_x0.5,TierC_BFS46_FSDM41,0.05952249254499163,0.9895030259810346,0.20786444020358247,7,14
global_median_x0.5,TierC_DTSR14_WOODAUTH,0.11375520059040614,0.6804169901656315,0.20786444020358247,7,14
global_median_x0.5,TierD_xmag_x10x20,0.03917129550661359,0.41934065934065934,0.20786444020358247,7,14
global_median_x0.5,TierD_xmag_x10x50,0.06275548253740583,0.7527472527472528,0.20786444020358247,7,14
global_median_x0.5,TierD_xmag_x20x50,0.08299486126218523,0.8277472527472528,0.20786444020358247,7,14
global_median_x0.5,clean_TierA,0.017220060030619305,0.0,0.20786444020358244,7,21
global_median_x2.0,TierC_BFS46_FSDM41,0.12967383861541748,0.9895030259810346,0.8314577608143299,7,14
global_median_x2.0,TierC_DTSR14_WOODAUTH,0.24441252861704146,0.6804169901656315,0.8314577608143299,7,14
global_median_x2.0,TierD_xmag_x10x20,0.08819546869822911,0.41934065934065934,0.8314577608143299,7,14
global_median_x2.0,TierD_xmag_x10x50,0.1412697902747563,0.7527472527472528,0.8314577608143299,7,14
global_median_x2.0,TierD_xmag_x20x50,0.18248492053576879,0.8277472527472528,0.8314577608143299,7,14
global_median_x2.0,clean_TierA,0.04165331238792056,0.0,0.8314577608143298,7,21
per_pair_median,TierC_BFS46_FSDM41,0.10114572729383196,0.9895030259810346,0.4468664524542904,7,14
per_pair_median,TierC_DTSR14_WOODAUTH,0.19427265439714705,0.6804169901656315,0.4556496844777845,7,14
per_pair_median,TierD_xmag_x10x20,0.06794203179223197,0.41934065934065934,0.45429149464641194,7,14
per_pair_median,TierD_xmag_x10x50,0.11136693613869804,0.7527472527472528,0.4781572219761582,7,14
per_pair_median,TierD_xmag_x20x50,0.1420960681779044,0.8277472527472528,0.4517354018121215,7,14
per_pair_median,clean_TierA,0.032540202140808105,0.0,0.4997208712910378,7,21
