backbone,backbone_label,condition,reference_dataset,target_dataset,target_tag,policy,gamma,mmd,failure,n_reference,n_target
resnet50,ResNet-50,clean_TierA,WRD25,WRD25,original_holdout,per_pair_median,0.46671533774266133,0.025536060333251953,0.0,1079,1079
resnet50,ResNet-50,clean_TierA,WRD25,WRD25,original_holdout,global_median,0.42694823256344694,0.02412426471710205,0.0,1079,1079
resnet50,ResNet-50,clean_TierA,WRD25,WRD25,original_holdout,global_median_x0.5,0.21347411628172347,0.014372110366821289,0.0,1079,1079
resnet50,ResNet-50,clean_TierA,WRD25,WRD25,original_holdout,global_median_x2.0,0.8538964651268939,0.034405410289764404,0.0,1079,1079
resnet50,ResNet-50,clean_TierA,DTSR14,DTSR14,original_holdout,per_pair_median,0.5392137742806986,0.036722421646118164,0.0,4451,4452
resnet50,ResNet-50,clean_TierA,DTSR14,DTSR14,original_holdout,global_median,0.42694823256344694,0.03179633617401123,0.0,4451,4452
resnet50,ResNet-50,clean_TierA,DTSR14,DTSR14,original_holdout,global_median_x0.5,0.21347411628172347,0.018884897232055664,0.0,4451,4452
resnet50,ResNet-50,clean_TierA,DTSR14,DTSR14,original_holdout,global_median_x2.0,0.8538964651268939,0.045452892780303955,0.0,4451,4452
resnet50,ResNet-50,clean_TierA,PCA11,PCA11,original_holdout,per_pair_median,0.4865527337258805,0.030420660972595215,0.0,5397,5398
resnet50,ResNet-50,clean_TierA,PCA11,PCA11,original_holdout,global_median,0.42694823256344694,0.027985095977783203,0.0,5397,5398
resnet50,ResNet-50,clean_TierA,PCA11,PCA11,original_holdout,global_median_x0.5,0.21347411628172347,0.016591310501098633,0.0,5397,5398
resnet50,ResNet-50,clean_TierA,PCA11,PCA11,original_holdout,global_median_x2.0,0.8538964651268939,0.040032029151916504,0.0,5397,5398
resnet50,ResNet-50,TierD_xmag_x10x20,VN26_x10,VN26_x20,original,per_pair_median,0.4773768348340098,0.04491782188415527,0.466153846153846,2600,2600
resnet50,ResNet-50,TierD_xmag_x10x20,VN26_x10,VN26_x20,original,global_median,0.42694823256344694,0.04185831546783447,0.466153846153846,2600,2600
resnet50,ResNet-50,TierD_xmag_x10x20,VN26_x10,VN26_x20,original,global_median_x0.5,0.21347411628172347,0.024970054626464844,0.466153846153846,2600,2600
resnet50,ResNet-50,TierD_xmag_x10x20,VN26_x10,VN26_x20,original,global_median_x2.0,0.8538964651268939,0.05954927206039429,0.466153846153846,2600,2600
resnet50,ResNet-50,TierD_xmag_x10x50,VN26_x10,VN26_x50,original,per_pair_median,0.4848931584037142,0.10677409172058105,0.7865384615384614,2600,2600
resnet50,ResNet-50,TierD_xmag_x10x50,VN26_x10,VN26_x50,original,global_median,0.42694823256344694,0.09895789623260498,0.7865384615384614,2600,2600
resnet50,ResNet-50,TierD_xmag_x10x50,VN26_x10,VN26_x50,original,global_median_x0.5,0.21347411628172347,0.05986166000366211,0.7865384615384614,2600,2600
resnet50,ResNet-50,TierD_xmag_x10x50,VN26_x10,VN26_x50,original,global_median_x2.0,0.8538964651268939,0.1363179087638855,0.7865384615384614,2600,2600
resnet50,ResNet-50,TierD_xmag_x10x20,VN26_x20,VN26_x10,original,per_pair_median,0.4762692268124001,0.05158054828643799,0.5223076923076923,2600,2600
resnet50,ResNet-50,TierD_xmag_x10x20,VN26_x20,VN26_x10,original,global_median,0.42694823256344694,0.04816925525665283,0.5223076923076923,2600,2600
resnet50,ResNet-50,TierD_xmag_x10x20,VN26_x20,VN26_x10,original,global_median_x0.5,0.21347411628172347,0.02881765365600586,0.5223076923076923,2600,2600
resnet50,ResNet-50,TierD_xmag_x10x20,VN26_x20,VN26_x10,original,global_median_x2.0,0.8538964651268939,0.06809520721435547,0.5223076923076923,2600,2600
resnet50,ResNet-50,TierD_xmag_x20x50,VN26_x20,VN26_x50,original,per_pair_median,0.4587240608376696,0.10956597328186035,0.8419230769230769,2600,2600
resnet50,ResNet-50,TierD_xmag_x20x50,VN26_x20,VN26_x50,original,global_median,0.42694823256344694,0.10502839088439941,0.8419230769230769,2600,2600
resnet50,ResNet-50,TierD_xmag_x20x50,VN26_x20,VN26_x50,original,global_median_x0.5,0.21347411628172347,0.06413507461547852,0.8419230769230769,2600,2600
resnet50,ResNet-50,TierD_xmag_x20x50,VN26_x20,VN26_x50,original,global_median_x2.0,0.8538964651268939,0.1421726942062378,0.8419230769230769,2600,2600
resnet50,ResNet-50,TierD_xmag_x10x50,VN26_x50,VN26_x10,original,per_pair_median,0.4843042078297331,0.10780072212219238,0.7792307692307694,2600,2600
resnet50,ResNet-50,TierD_xmag_x10x50,VN26_x50,VN26_x10,original,global_median,0.42694823256344694,0.10000002384185791,0.7792307692307694,2600,2600
resnet50,ResNet-50,TierD_xmag_x10x50,VN26_x50,VN26_x10,original,global_median_x0.5,0.21347411628172347,0.06054127216339111,0.7792307692307694,2600,2600
resnet50,ResNet-50,TierD_xmag_x10x50,VN26_x50,VN26_x10,original,global_median_x2.0,0.8538964651268939,0.1375451683998108,0.7792307692307694,2600,2600
resnet50,ResNet-50,TierD_xmag_x20x50,VN26_x50,VN26_x20,original,per_pair_median,0.46104303811716374,0.1151207685470581,0.8211538461538463,2600,2600
resnet50,ResNet-50,TierD_xmag_x20x50,VN26_x50,VN26_x20,original,global_median,0.42694823256344694,0.11003601551055908,0.8211538461538463,2600,2600
resnet50,ResNet-50,TierD_xmag_x20x50,VN26_x50,VN26_x20,original,global_median_x0.5,0.21347411628172347,0.06719803810119629,0.8211538461538463,2600,2600
resnet50,ResNet-50,TierD_xmag_x20x50,VN26_x50,VN26_x20,original,global_median_x2.0,0.8538964651268939,0.14892089366912842,0.8211538461538463,2600,2600
resnet50,ResNet-50,TierC_BFS46_FSDM41,BFS46,FSDM41,original_shared_species,per_pair_median,0.47517385242332993,0.10914206504821777,0.7714457108578285,1088,1667
resnet50,ResNet-50,TierC_BFS46_FSDM41,BFS46,FSDM41,original_shared_species,global_median,0.42694823256344694,0.10238993167877197,0.7714457108578285,1088,1667
resnet50,ResNet-50,TierC_BFS46_FSDM41,BFS46,FSDM41,original_shared_species,global_median_x0.5,0.21347411628172347,0.06208992004394531,0.7714457108578285,1088,1667
resnet50,ResNet-50,TierC_BFS46_FSDM41,BFS46,FSDM41,original_shared_species,global_median_x2.0,0.8538964651268939,0.14054358005523682,0.7714457108578285,1088,1667
resnet50,ResNet-50,TierC_BFS46_FSDM41,FSDM41,BFS46,original_shared_species,per_pair_median,0.48391374545397486,0.11637437343597412,0.6654411764705883,1667,1088
resnet50,ResNet-50,TierC_BFS46_FSDM41,FSDM41,BFS46,original_shared_species,global_median,0.42694823256344694,0.10804784297943115,0.6654411764705883,1667,1088
resnet50,ResNet-50,TierC_BFS46_FSDM41,FSDM41,BFS46,original_shared_species,global_median_x0.5,0.21347411628172347,0.06553196907043457,0.6654411764705883,1667,1088
resnet50,ResNet-50,TierC_BFS46_FSDM41,FSDM41,BFS46,original_shared_species,global_median_x2.0,0.8538964651268939,0.14825439453125,0.6654411764705883,1667,1088
efficientnet_b3,EffNet-B3,clean_TierA,WRD25,WRD25,original_holdout,per_pair_median,0.4042726030222825,0.02937793731689453,0.0,1079,1079
efficientnet_b3,EffNet-B3,clean_TierA,WRD25,WRD25,original_holdout,global_median,0.3510634006019372,0.026805996894836426,0.0,1079,1079
efficientnet_b3,EffNet-B3,clean_TierA,WRD25,WRD25,original_holdout,global_median_x0.5,0.1755317003009686,0.015809059143066406,0.0,1079,1079
efficientnet_b3,EffNet-B3,clean_TierA,WRD25,WRD25,original_holdout,global_median_x2.0,0.7021268012038744,0.038870811462402344,0.0,1079,1079
efficientnet_b3,EffNet-B3,clean_TierA,DTSR14,DTSR14,original_holdout,per_pair_median,0.4063346408597317,0.028416991233825684,0.0,4451,4452
efficientnet_b3,EffNet-B3,clean_TierA,DTSR14,DTSR14,original_holdout,global_median,0.3510634006019372,0.025945425033569336,0.0,4451,4452
efficientnet_b3,EffNet-B3,clean_TierA,DTSR14,DTSR14,original_holdout,global_median_x0.5,0.1755317003009686,0.015489459037780762,0.0,4451,4452
efficientnet_b3,EffNet-B3,clean_TierA,DTSR14,DTSR14,original_holdout,global_median_x2.0,0.7021268012038744,0.036725401878356934,0.0,4451,4452
efficientnet_b3,EffNet-B3,clean_TierA,PCA11,PCA11,original_holdout,per_pair_median,0.43547115415163723,0.029854893684387207,0.0,5397,5398
efficientnet_b3,EffNet-B3,clean_TierA,PCA11,PCA11,original_holdout,global_median,0.3510634006019372,0.02600109577178955,0.0,5397,5398
efficientnet_b3,EffNet-B3,clean_TierA,PCA11,PCA11,original_holdout,global_median_x0.5,0.1755317003009686,0.015290021896362305,0.0,5397,5398
efficientnet_b3,EffNet-B3,clean_TierA,PCA11,PCA11,original_holdout,global_median_x2.0,0.7021268012038744,0.03784072399139404,0.0,5397,5398
efficientnet_b3,EffNet-B3,TierD_xmag_x10x20,VN26_x10,VN26_x20,original,per_pair_median,0.39397215568305444,0.07882869243621826,0.3992307692307694,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x10x20,VN26_x10,VN26_x20,original,global_median,0.3510634006019372,0.07354927062988281,0.3992307692307694,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x10x20,VN26_x10,VN26_x20,original,global_median_x0.5,0.1755317003009686,0.04448390007019043,0.3992307692307694,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x10x20,VN26_x10,VN26_x20,original,global_median_x2.0,0.7021268012038744,0.10160356760025024,0.3992307692307694,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x10x50,VN26_x10,VN26_x50,original,per_pair_median,0.3843316925129476,0.12416529655456543,0.8434615384615387,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x10x50,VN26_x10,VN26_x50,original,global_median,0.3510634006019372,0.11777782440185547,0.8434615384615387,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x10x50,VN26_x10,VN26_x50,original,global_median_x0.5,0.1755317003009686,0.07197713851928711,0.8434615384615387,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x10x50,VN26_x10,VN26_x50,original,global_median_x2.0,0.7021268012038744,0.15901219844818115,0.8434615384615387,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x10x20,VN26_x20,VN26_x10,original,per_pair_median,0.3896918461451269,0.08195233345031738,0.5311538461538462,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x10x20,VN26_x20,VN26_x10,original,global_median,0.3510634006019372,0.07697117328643799,0.5311538461538462,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x10x20,VN26_x20,VN26_x10,original,global_median_x0.5,0.1755317003009686,0.04661130905151367,0.5311538461538462,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x10x20,VN26_x20,VN26_x10,original,global_median_x2.0,0.7021268012038744,0.10606920719146729,0.5311538461538462,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x20x50,VN26_x20,VN26_x50,original,per_pair_median,0.37661834705981073,0.15317273139953613,0.8546153846153846,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x20x50,VN26_x20,VN26_x50,original,global_median,0.3510634006019372,0.14713668823242188,0.8546153846153846,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x20x50,VN26_x20,VN26_x50,original,global_median_x0.5,0.1755317003009686,0.09058809280395508,0.8546153846153846,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x20x50,VN26_x20,VN26_x50,original,global_median_x2.0,0.7021268012038744,0.195767343044281,0.8546153846153846,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x10x50,VN26_x50,VN26_x10,original,per_pair_median,0.38739328522640454,0.12331640720367432,0.767692307692308,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x10x50,VN26_x50,VN26_x10,original,global_median,0.3510634006019372,0.11644935607910156,0.767692307692308,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x10x50,VN26_x50,VN26_x10,original,global_median_x0.5,0.1755317003009686,0.07116532325744629,0.767692307692308,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x10x50,VN26_x50,VN26_x10,original,global_median_x2.0,0.7021268012038744,0.1572675108909607,0.767692307692308,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x20x50,VN26_x50,VN26_x20,original,per_pair_median,0.3730699322002993,0.15508747100830078,0.8565384615384618,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x20x50,VN26_x50,VN26_x20,original,global_median,0.3510634006019372,0.1497936248779297,0.8565384615384618,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x20x50,VN26_x50,VN26_x20,original,global_median_x0.5,0.1755317003009686,0.09235596656799316,0.8565384615384618,2600,2600
efficientnet_b3,EffNet-B3,TierD_xmag_x20x50,VN26_x50,VN26_x20,original,global_median_x2.0,0.7021268012038744,0.19875961542129517,0.8565384615384618,2600,2600
efficientnet_b3,EffNet-B3,TierC_BFS46_FSDM41,BFS46,FSDM41,original_shared_species,per_pair_median,0.4089724030915839,0.08415687084197998,0.7168566286742653,1088,1667
efficientnet_b3,EffNet-B3,TierC_BFS46_FSDM41,BFS46,FSDM41,original_shared_species,global_median,0.3510634006019372,0.07674610614776611,0.7168566286742653,1088,1667
efficientnet_b3,EffNet-B3,TierC_BFS46_FSDM41,BFS46,FSDM41,original_shared_species,global_median_x0.5,0.1755317003009686,0.046195387840270996,0.7168566286742653,1088,1667
efficientnet_b3,EffNet-B3,TierC_BFS46_FSDM41,BFS46,FSDM41,original_shared_species,global_median_x2.0,0.7021268012038744,0.10694855451583862,0.7168566286742653,1088,1667
efficientnet_b3,EffNet-B3,TierC_BFS46_FSDM41,FSDM41,BFS46,original_shared_species,per_pair_median,0.406888588223185,0.08756613731384277,0.6121323529411765,1667,1088
efficientnet_b3,EffNet-B3,TierC_BFS46_FSDM41,FSDM41,BFS46,original_shared_species,global_median,0.3510634006019372,0.08013546466827393,0.6121323529411765,1667,1088
efficientnet_b3,EffNet-B3,TierC_BFS46_FSDM41,FSDM41,BFS46,original_shared_species,global_median_x0.5,0.1755317003009686,0.0483243465423584,0.6121323529411765,1667,1088
efficientnet_b3,EffNet-B3,TierC_BFS46_FSDM41,FSDM41,BFS46,original_shared_species,global_median_x2.0,0.7021268012038744,0.11128997802734375,0.6121323529411765,1667,1088
convnext_tiny,ConvNeXt-T,clean_TierA,WRD25,WRD25,original_holdout,per_pair_median,0.42704921421105374,0.01978754997253418,0.0,1079,1079
convnext_tiny,ConvNeXt-T,clean_TierA,WRD25,WRD25,original_holdout,global_median,0.37356788204589564,0.018084287643432617,0.0,1079,1079
convnext_tiny,ConvNeXt-T,clean_TierA,WRD25,WRD25,original_holdout,global_median_x0.5,0.18678394102294782,0.010562658309936523,0.0,1079,1079
convnext_tiny,ConvNeXt-T,clean_TierA,WRD25,WRD25,original_holdout,global_median_x2.0,0.7471357640917913,0.02680349349975586,0.0,1079,1079
convnext_tiny,ConvNeXt-T,clean_TierA,DTSR14,DTSR14,original_holdout,per_pair_median,0.43149908418539823,0.03268885612487793,0.0,4451,4452
convnext_tiny,ConvNeXt-T,clean_TierA,DTSR14,DTSR14,original_holdout,global_median,0.37356788204589564,0.02998983860015869,0.0,4451,4452
convnext_tiny,ConvNeXt-T,clean_TierA,DTSR14,DTSR14,original_holdout,global_median_x0.5,0.18678394102294782,0.018114924430847168,0.0,4451,4452
convnext_tiny,ConvNeXt-T,clean_TierA,DTSR14,DTSR14,original_holdout,global_median_x2.0,0.7471357640917913,0.041490256786346436,0.0,4451,4452
convnext_tiny,ConvNeXt-T,clean_TierA,PCA11,PCA11,original_holdout,per_pair_median,0.5004996877771776,0.04455888271331787,0.0,5397,5398
convnext_tiny,ConvNeXt-T,clean_TierA,PCA11,PCA11,original_holdout,global_median,0.37356788204589564,0.03674173355102539,0.0,5397,5398
convnext_tiny,ConvNeXt-T,clean_TierA,PCA11,PCA11,original_holdout,global_median_x0.5,0.18678394102294782,0.021293997764587402,0.0,5397,5398
convnext_tiny,ConvNeXt-T,clean_TierA,PCA11,PCA11,original_holdout,global_median_x2.0,0.7471357640917913,0.05491054058074951,0.0,5397,5398
convnext_tiny,ConvNeXt-T,TierD_xmag_x10x20,VN26_x10,VN26_x20,original,per_pair_median,0.4075730009551132,0.0719369649887085,0.3242307692307694,2600,2600
convnext_tiny,ConvNeXt-T,TierD_xmag_x10x20,VN26_x10,VN26_x20,original,global_median,0.37356788204589564,0.06835067272186279,0.3242307692307694,2600,2600
convnext_tiny,ConvNeXt-T,TierD_xmag_x10x20,VN26_x10,VN26_x20,original,global_median_x0.5,0.18678394102294782,0.04172635078430176,0.3242307692307694,2600,2600
convnext_tiny,ConvNeXt-T,TierD_xmag_x10x20,VN26_x10,VN26_x20,original,global_median_x2.0,0.7471357640917913,0.09264606237411499,0.3242307692307694,2600,2600
convnext_tiny,ConvNeXt-T,TierD_xmag_x10x50,VN26_x10,VN26_x50,original,per_pair_median,0.42606664361427854,0.10454559326171875,0.765769230769231,2600,2600
convnext_tiny,ConvNeXt-T,TierD_xmag_x10x50,VN26_x10,VN26_x50,original,global_median,0.37356788204589564,0.09676992893218994,0.765769230769231,2600,2600
