backbone,backbone_label,condition,condition_label,severity_rank,reference_dataset,target_dataset,target_tag,n_reference,n_target,ref_centroid_cosine,ref_mmd_rbf
resnet50,ResNet-50,TierA_clean,Tier-A clean,0,WRD25,WRD25,original_holdout,1079,1079,0.03862106800079346,0.02712547779083252
resnet50,ResNet-50,TierA_clean,Tier-A clean,0,DTSR14,DTSR14,original_holdout,4451,4452,0.05622828006744385,0.037504732608795166
resnet50,ResNet-50,TierA_clean,Tier-A clean,0,PCA11,PCA11,original_holdout,5397,5398,0.0459635853767395,0.03146082162857056
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,blur_2,1901,1901,0.24327456951141357,0.13554036617279053
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,blur_4,1901,1901,0.3924698233604431,0.21881604194641113
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,blur_6,1901,1901,0.49253809452056885,0.28718453645706177
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,blur_8,1901,1901,0.5370595455169678,0.3100306987762451
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,blur_10,1901,1901,0.5434371829032898,0.3059772849082947
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,blur_12,1901,1901,0.5580897927284241,0.31853926181793213
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,defocus_3,1901,1901,0.16412639617919922,0.0923425555229187
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,defocus_5,1901,1901,0.2379082441329956,0.13086873292922974
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,defocus_8,1901,1901,0.3315807580947876,0.18540656566619873
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,defocus_11,1901,1901,0.4106990098953247,0.22127443552017212
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,defocus_15,1901,1901,0.4792715311050415,0.26653343439102173
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,resize_1_33,1901,1901,0.03178262710571289,0.018252789974212646
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,resize_1_67,1901,1901,0.07071822881698608,0.041513025760650635
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,resize_2_0,1901,1901,0.12137454748153687,0.06720536947250366
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,brightness_0_7,1901,1901,0.0016704201698303223,0.0021421313285827637
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,brightness_0_85,1901,1901,0.0006952285766601562,0.0016117691993713379
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,brightness_1_15,1901,1901,0.0006215572357177734,0.0013365745544433594
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,brightness_1_3,1901,1901,0.0015600323677062988,0.0019227266311645508
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,jpeg_10,1901,1901,0.27128422260284424,0.17683273553848267
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,jpeg_20,1901,1901,0.16056817770004272,0.10139530897140503
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,jpeg_30,1901,1901,0.1244691014289856,0.07668787240982056
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,jpeg_50,1901,1901,0.09230321645736694,0.05466198921203613
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,jpeg_70,1901,1901,0.06984233856201172,0.0419086217880249
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,color_shift_-45,1901,1901,0.028432846069335938,0.017695963382720947
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,color_shift_-30,1901,1901,0.014344930648803711,0.011907398700714111
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,color_shift_30,1901,1901,0.012911021709442139,0.008706152439117432
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,color_shift_45,1901,1901,0.024925708770751953,0.01755291223526001
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,green_channel_shift_-45,1901,1901,0.045745015144348145,0.030993103981018066
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,green_channel_shift_-30,1901,1901,0.028304100036621094,0.02130138874053955
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,green_channel_shift_30,1901,1901,0.03383064270019531,0.02060168981552124
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,green_channel_shift_45,1901,1901,0.06186962127685547,0.037832796573638916
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,BFS46,BFS46,blue_channel_shift_-45,1901,1901,0.025158047676086426,0.016140341758728027
