pair,n_species,source_acc,cross_source_species_acc,cross_source_species_acc_a_to_b,cross_source_species_acc_b_to_a,between_source_dist,between_species_dist,source_to_species_ratio,n_features_a,n_features_b,backbone
BFS46<->FSDM41,24,0.9636299435028248,0.018167132252176647,0.02000129192138071,0.016332972582972585,0.585684061050415,0.8221244513988495,0.7124031648166623,1088,1744,resnet50
BFS46<->FSDM41,24,0.9212570621468926,0.006745680504040064,0.006141072407791526,0.0073502886002886,0.6066206097602844,0.9413206577301025,0.6444356710734925,1088,1744,efficientnet_b3
BFS46<->FSDM41,24,0.9555084745762712,0.01831138333381776,0.0064335114783803235,0.030189255189255193,0.5910353660583496,0.9168717265129089,0.644621650953901,1088,1744,convnext_tiny
BFS46<->FSDM41,24,0.966454802259887,0.006149204415020175,0.006412627944259464,0.005885780885780886,0.6459563970565796,0.9380381107330322,0.6886248966485027,1088,1744,swin_tiny
BFS46<->FSDM41,24,0.9548022598870056,0.022114062427138877,0.02321441634056924,0.021013708513708512,0.6942524313926697,0.8501429855823517,0.816630194174086,1088,1744,dinov2_b
BFS46<->FSDM41,24,0.96045197740113,0.00485308594418764,0.0032457341779375676,0.006460437710437711,0.4348028004169464,0.7093430757522583,0.6129654539240058,1088,1744,hrnet32
BFS46<->FSDM41,24,0.9590395480225988,0.02221329828865884,0.024549251699972796,0.01987734487734488,0.7669505476951599,0.9895797669887543,0.7750265044607573,1088,1744,mobilenetv3
DTSR14<->WOODAUTH,4,0.9701186131386861,0.2736054394154387,0.2892261734777509,0.2579847053531264,0.693498969078064,0.48207174241542816,1.4385804187605724,1440,2944,resnet50
DTSR14<->WOODAUTH,4,0.9742244525547445,0.28089137864766855,0.2858927116684493,0.27589004562688774,0.8862226009368896,0.6207101047039032,1.427756039767092,1440,2944,efficientnet_b3
DTSR14<->WOODAUTH,4,0.96875,0.30319135662664776,0.35898135729930797,0.24740135595398755,0.8032130599021912,0.5818956792354584,1.3803385874185166,1440,2944,convnext_tiny
DTSR14<->WOODAUTH,4,0.9826642335766423,0.31084285945621315,0.33902795270202846,0.2826577662103978,0.9114401340484619,0.6859598159790039,1.3287077651135046,1440,2944,swin_tiny
DTSR14<->WOODAUTH,4,0.9771897810218978,0.27411993250920563,0.28684772563708205,0.26139213938132916,0.7955440878868103,0.4866756498813629,1.634649459201638,1440,2944,dinov2_b
DTSR14<->WOODAUTH,4,0.9470802919708029,0.2379486313922905,0.2255478315140971,0.2503494312704839,0.6494438648223877,0.4457443505525589,1.4569873157469286,1440,2944,hrnet32
DTSR14<->WOODAUTH,4,0.9495894160583942,0.2636706311184076,0.2965880972731239,0.2307531649636913,0.9706305265426636,0.699970155954361,1.3866741578687583,1440,2944,mobilenetv3
