backbone,pair,direction,source_dataset,target_dataset,species,centroid_drift,within_source_recall,cross_source_recall,accuracy_drop,n_source,n_target
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Acrocarpus fraxinifolius Wight & Arn.,0.44248199462890625,1.0,0.0,1.0,17,48
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Araucaria angustifolia (Bertol.) Kuntze,0.27268409729003906,1.0,0.015873015873015872,0.9841269841269842,55,63
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Aspidosperma polyneuron Müll.Arg.,0.3618507981300354,1.0,0.05660377358490566,0.9433962264150944,20,53
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Bagassa guianensis Aubl.,0.5004971623420715,1.0,0.0,1.0,52,96
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Balfourodendron riedelianum (Engl.) Engl.,0.709406852722168,1.0,0.0,1.0,61,62
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Bertholletia excelsa Bonpl.,0.3260676860809326,1.0,0.0,1.0,35,99
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Carapa guianensis Aubl.,0.38433921337127686,1.0,0.0,1.0,21,82
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Cariniana estrellensis (Raddi) Kuntze,0.5245037078857422,1.0,0.0,1.0,36,99
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Cedrela fissilis Vell.,0.42452192306518555,1.0,0.0,1.0,22,55
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Cedrelinga cateniformis (Ducke) Ducke,0.3963536024093628,1.0,0.0,1.0,65,78
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Cordia goeldiana Huber,0.483298122882843,1.0,0.0,1.0,36,99
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Erisma uncinatum Warm.,0.373895525932312,1.0,0.0,1.0,58,63
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Euxylophora paraensis Huber,0.39202988147735596,1.0,0.0,1.0,66,59
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Goupia glabra Aubl.,0.5187692046165466,0.9375,0.0,0.9375,32,99
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Grevillea robusta A.Cunn. ex R.Br.,0.6459679007530212,1.0,0.0,1.0,48,79
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Hymenolobium petraeum Ducke,0.3163169026374817,0.9642857142857143,0.0,0.9642857142857143,28,98
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Laurus nobilis L.,0.520058274269104,1.0,0.0,1.0,36,86
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Melia azedarach L.,0.5066131949424744,1.0,0.0,1.0,47,46
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Mezilaurus itauba (Meissner) Taubert,0.48912811279296875,1.0,0.0,1.0,83,94
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Micropholis venulosa (Mart. & Eichler) Pierre,0.44014692306518555,0.9859154929577465,0.0,0.9859154929577465,71,58
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Mimosa scabrella Benth.,0.3827784061431885,1.0,0.058823529411764705,0.9411764705882353,30,51
resnet50,BFS46<->FSDM41,BFS46->FSDM41,BFS46,FSDM41,Myroxylon balsamum (L.) Harms,0.44719624519348145,1.0,0.0,1.0,53,37
