pair,direction,backbone,cross_source_accuracy,n_species
BFS46<->FSDM41,BFS46->FSDM41,resnet50,0.007454128440366973,24
BFS46<->FSDM41,FSDM41->BFS46,resnet50,0.009191176470588236,24
BFS46<->FSDM41,BFS46->FSDM41,efficientnet_b3,0.0034403669724770644,24
BFS46<->FSDM41,FSDM41->BFS46,efficientnet_b3,0.011948529411764705,24
BFS46<->FSDM41,BFS46->FSDM41,convnext_tiny,0.0011467889908256881,24
BFS46<->FSDM41,FSDM41->BFS46,convnext_tiny,0.017463235294117647,24
BFS46<->FSDM41,BFS46->FSDM41,swin_tiny,0.0045871559633027525,24
BFS46<->FSDM41,FSDM41->BFS46,swin_tiny,0.01838235294117647,24
BFS46<->FSDM41,BFS46->FSDM41,dinov2_b,0.02522935779816514,24
BFS46<->FSDM41,FSDM41->BFS46,dinov2_b,0.013786764705882353,24
BFS46<->FSDM41,BFS46->FSDM41,hrnet32,0.0045871559633027525,24
BFS46<->FSDM41,FSDM41->BFS46,hrnet32,0.006433823529411764,24
BFS46<->FSDM41,BFS46->FSDM41,mobilenetv3,0.008600917431192661,24
BFS46<->FSDM41,FSDM41->BFS46,mobilenetv3,0.014705882352941176,24
DTSR14<->WOODAUTH,DTSR14->WOODAUTH,resnet50,0.3406929347826087,4
DTSR14<->WOODAUTH,WOODAUTH->DTSR14,resnet50,0.2638888888888889,4
DTSR14<->WOODAUTH,DTSR14->WOODAUTH,efficientnet_b3,0.28702445652173914,4
DTSR14<->WOODAUTH,WOODAUTH->DTSR14,efficientnet_b3,0.3277777777777778,4
DTSR14<->WOODAUTH,DTSR14->WOODAUTH,convnext_tiny,0.3141983695652174,4
DTSR14<->WOODAUTH,WOODAUTH->DTSR14,convnext_tiny,0.29097222222222224,4
DTSR14<->WOODAUTH,DTSR14->WOODAUTH,swin_tiny,0.32235054347826086,4
DTSR14<->WOODAUTH,WOODAUTH->DTSR14,swin_tiny,0.3576388888888889,4
DTSR14<->WOODAUTH,DTSR14->WOODAUTH,dinov2_b,0.2866847826086957,4
DTSR14<->WOODAUTH,WOODAUTH->DTSR14,dinov2_b,0.39861111111111114,4
DTSR14<->WOODAUTH,DTSR14->WOODAUTH,hrnet32,0.29008152173913043,4
DTSR14<->WOODAUTH,WOODAUTH->DTSR14,hrnet32,0.22361111111111112,4
DTSR14<->WOODAUTH,DTSR14->WOODAUTH,mobilenetv3,0.3685461956521739,4
DTSR14<->WOODAUTH,WOODAUTH->DTSR14,mobilenetv3,0.40208333333333335,4
